problema,D,M,maxfe,fe_final,init,n_ger_manifest,n_gen_evt,n_sonda,n_guard,guard_names,cache_hits,status,termino,N_vet,delta,wmax,mu,alpha,theta0,tb,dace,ramos,u_ef,n_wblocks,arquivo,n_treino,nzero,nvv,ramo_gen1,flag_gen1,sonda_gers,sonda_last,sonda_nblocos,sonda_k,maq_tempo
BBOB_F1,10,2,309,309,109,41,40,22,5,"Counter({'cache_hit': 4, 'hard_stop': 1})",4,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 40}),Counter({5: 40}),Counter({20: 40}),Counter({109: 40}),Counter({109: 40}),Counter({0: 40}),Counter({0: 40}),APD,-6,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",41,22,2,74.965717
BBOB_F17,10,2,309,309,109,41,40,21,1,Counter({'cache_hit': 1}),1,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 40}),Counter({5: 40}),Counter({20: 40}),Counter({109: 40}),Counter({109: 40}),Counter({0: 40}),Counter({0: 40}),APD,0,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",40,21,2,67.222492
BBOB_F22,10,2,309,309,109,41,40,21,1,Counter({'cache_hit': 1}),1,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 40}),Counter({5: 40}),Counter({20: 40}),Counter({109: 40}),Counter({109: 40}),Counter({0: 40}),Counter({0: 40}),APD,1,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",40,21,2,65.190847
BBOB_F37,10,2,309,309,109,41,40,21,1,Counter({'cache_hit': 1}),1,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 40}),Counter({5: 40}),Counter({20: 40}),Counter({109: 40}),Counter({109: 40}),Counter({0: 40}),Counter({0: 40}),APD,-22,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",40,21,2,63.247361
BBOB_F49,10,2,309,309,109,41,40,22,5,"Counter({'cache_hit': 4, 'hard_stop': 1})",4,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 40}),Counter({5: 40}),Counter({20: 40}),Counter({109: 40}),Counter({109: 40}),Counter({0: 40}),Counter({0: 40}),APD,0,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",41,22,2,70.268994
BBOB_F5,10,2,309,309,109,43,42,23,15,"Counter({'cache_hit': 14, 'hard_stop': 1})",14,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 42}),Counter({5: 42}),Counter({20: 42}),Counter({109: 42}),Counter({109: 42}),Counter({0: 42}),Counter({0: 42}),APD,-26,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",43,23,2,76.06081
BBOB_F55,10,2,309,309,109,41,40,22,4,"Counter({'cache_hit': 3, 'hard_stop': 1})",3,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 40}),Counter({5: 40}),Counter({20: 40}),Counter({109: 40}),Counter({109: 40}),Counter({0: 40}),Counter({0: 40}),APD,-35,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",41,22,2,66.752369
DTLZ1,7,3,216,216,76,29,28,16,3,"Counter({'cache_hit': 2, 'hard_stop': 1})",2,ok,normal,91,4.55,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,"Counter({'incerteza': 14, 'APD': 14})",Counter({5: 28}),Counter({20: 28}),Counter({76: 28}),Counter({76: 28}),Counter({0: 28}),Counter({0: 28}),incerteza,5,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 29]...",29,16,2,40.325968
DTLZ2,12,3,371,371,131,49,48,25,1,Counter({'cache_hit': 1}),1,ok,normal,91,4.55,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,"Counter({'incerteza': 34, 'APD': 14})",Counter({5: 48}),Counter({20: 48}),Counter({131: 48}),Counter({131: 48}),Counter({0: 48}),Counter({0: 48}),APD,-1,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",48,25,2,105.963153
DTLZ3,12,3,371,371,131,49,48,25,1,Counter({'cache_hit': 1}),1,ok,normal,91,4.55,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'incerteza': 48}),Counter({5: 48}),Counter({20: 48}),Counter({131: 48}),Counter({131: 48}),Counter({0: 48}),Counter({0: 48}),incerteza,32,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",48,25,2,93.574671
DTLZ4,12,3,371,371,131,49,48,26,3,"Counter({'cache_hit': 2, 'hard_stop': 1})",2,ok,normal,91,4.55,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 48}),Counter({5: 48}),Counter({20: 48}),Counter({131: 48}),Counter({131: 48}),Counter({0: 48}),Counter({0: 48}),APD,-35,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",49,26,2,87.664221
DTLZ7,22,3,681,681,241,99,98,51,56,"Counter({'cache_hit': 55, 'hard_stop': 1})",55,ok,normal,91,4.55,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 98}),Counter({5: 98}),Counter({20: 98}),Counter({241: 98}),Counter({241: 98}),Counter({0: 98}),Counter({0: 98}),APD,-3,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",99,51,2,794.436295
MMF1,2,2,61,61,21,9,8,6,3,"Counter({'cache_hit': 2, 'hard_stop': 1})",2,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 8}),Counter({5: 8}),Counter({20: 8}),Counter({21: 8}),Counter({21: 8}),Counter({0: 8}),Counter({0: 8}),APD,-54,"[1, 2, 4, 6, 8, 9]",9,6,2,15.503765
MMF11_L,2,2,61,61,21,9,8,5,1,Counter({'cache_hit': 1}),1,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 8}),Counter({5: 8}),Counter({20: 8}),Counter({21: 8}),Counter({21: 8}),Counter({0: 8}),Counter({0: 8}),APD,-21,"[1, 2, 4, 6, 8]",8,5,2,14.559048
MMF16_20,20,3,619,619,219,81,80,41,1,Counter({'cache_hit': 1}),1,ok,normal,91,4.55,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'incerteza': 80}),Counter({5: 80}),Counter({20: 80}),Counter({219: 80}),Counter({219: 80}),Counter({0: 80}),Counter({0: 80}),incerteza,41,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",80,41,2,383.225547
MMF4,2,2,61,61,21,9,8,6,3,"Counter({'cache_hit': 2, 'hard_stop': 1})",2,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 8}),Counter({5: 8}),Counter({20: 8}),Counter({21: 8}),Counter({21: 8}),Counter({0: 8}),Counter({0: 8}),APD,-70,"[1, 2, 4, 6, 8, 9]",9,6,2,15.067275
WFG1,22,2,681,681,241,90,89,46,11,"Counter({'cache_hit': 10, 'hard_stop': 1})",10,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 89}),Counter({5: 89}),Counter({20: 89}),Counter({241: 89}),Counter({241: 89}),Counter({0: 89}),Counter({0: 89}),APD,-6,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",90,46,2,585.804968
WFG2,22,2,681,681,241,95,94,49,35,"Counter({'cache_hit': 34, 'hard_stop': 1})",34,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,Counter({'APD': 94}),Counter({5: 94}),Counter({20: 94}),Counter({241: 94}),Counter({241: 94}),Counter({0: 94}),Counter({0: 94}),APD,-8,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",95,49,2,540.779803
WFG4,22,2,681,681,241,93,92,48,24,"Counter({'cache_hit': 23, 'hard_stop': 1})",23,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,"Counter({'APD': 52, 'incerteza': 40})",Counter({5: 92}),Counter({20: 92}),Counter({241: 92}),Counter({241: 92}),Counter({0: 92}),Counter({0: 92}),APD,2,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",93,48,2,521.060154
WFG5,22,2,681,681,241,89,88,46,5,"Counter({'cache_hit': 4, 'hard_stop': 1})",4,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,"Counter({'incerteza': 58, 'APD': 30})",Counter({5: 88}),Counter({20: 88}),Counter({241: 88}),Counter({241: 88}),Counter({0: 88}),Counter({0: 88}),incerteza,7,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",89,46,2,480.388895
WFG9,22,2,681,681,241,91,90,46,11,Counter({'cache_hit': 11}),11,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,"Counter({'incerteza': 66, 'APD': 24})",Counter({5: 90}),Counter({20: 90}),Counter({241: 90}),Counter({241: 90}),Counter({0: 90}),Counter({0: 90}),APD,5,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",90,46,2,494.571894
ZDT1,30,2,929,929,329,121,120,62,3,"Counter({'cache_hit': 2, 'hard_stop': 1})",2,ok,normal,100,5.0,20,5,2,5,"[1e-5,100]",regpoly1+corrgauss,"Counter({'APD': 119, 'incerteza': 1})",Counter({5: 120}),Counter({20: 120}),Counter({329: 120}),Counter({329: 120}),Counter({0: 120}),Counter({0: 120}),incerteza,10,"[1, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, ...",121,62,2,2178.354922
