alg,label,n_sel,n_sem_id,n_bit_identicos,n_testados,max_dX,frac_ok,veredito
b1,BBOB_F1,97,0,97,97,0.0,1.0,OK
b1,BBOB_F17,118,0,118,118,0.0,1.0,OK
b1,BBOB_F22,4564,0,4564,4564,0.0,1.0,OK
b1,BBOB_F37,115201,0,115201,115201,0.0,1.0,OK
b1,BBOB_F49,140343,0,140343,140343,0.0,1.0,OK
b1,BBOB_F5,83,0,83,83,0.0,1.0,OK
b1,BBOB_F55,84,0,84,84,0.0,1.0,OK
b1,DTLZ1,812,0,812,812,0.0,1.0,OK
b1,DTLZ2,181,0,181,181,0.0,1.0,OK
b1,DTLZ3,162,0,162,162,0.0,1.0,OK
b1,DTLZ7,317,0,317,317,0.0,1.0,OK
b1,MMF1,832,0,832,832,0.0,1.0,OK
b1,MMF11_L,186,0,186,186,0.0,1.0,OK
b1,MMF16_20,340,0,340,340,0.0,1.0,OK
b1,MMF4,60,0,60,60,0.0,1.0,OK
b1,WFG1,179,0,179,179,0.0,1.0,OK
b1,WFG2,365,0,365,365,0.0,1.0,OK
b1,WFG4,361,0,361,361,0.0,1.0,OK
b1,WFG5,354,0,354,354,0.0,1.0,OK
b1,WFG9,318,0,318,318,0.0,1.0,OK
b1,ZDT1,354,0,354,354,0.0,1.0,OK
b1,ZDT3,353,0,353,353,0.0,1.0,OK
b1,ZDT4,91,0,91,91,0.0,1.0,OK
b1,ZDT6,153,0,153,153,0.0,1.0,OK
b3,BBOB_F1,7063,0,7063,7063,0.0,1.0,OK
b3,BBOB_F17,4814,0,4814,4814,0.0,1.0,OK
b3,BBOB_F22,4657,0,4657,4657,0.0,1.0,OK
b3,BBOB_F37,4801,0,4801,4801,0.0,1.0,OK
b3,BBOB_F49,7253,0,7253,7253,0.0,1.0,OK
b3,BBOB_F5,8591,0,8591,8591,0.0,1.0,OK
b3,BBOB_F55,6621,0,6621,6621,0.0,1.0,OK
b3,DTLZ1,3833,0,3833,3833,0.0,1.0,OK
b3,DTLZ2,6862,0,6862,6862,0.0,1.0,OK
b3,DTLZ3,7570,0,7570,7570,0.0,1.0,OK
b3,DTLZ4,3568,0,3568,3568,0.0,1.0,OK
b3,DTLZ7,14602,0,14602,14602,0.0,1.0,OK
b3,MMF1,833,0,833,833,0.0,1.0,OK
b3,MMF11_L,603,0,603,603,0.0,1.0,OK
b3,MMF16_20,14051,0,14051,14051,0.0,1.0,OK
b3,MMF4,759,0,759,759,0.0,1.0,OK
b3,WFG1,14377,0,14377,14377,0.0,1.0,OK
b3,WFG2,26007,0,26007,26007,0.0,1.0,OK
b3,WFG4,21191,0,21191,21191,0.0,1.0,OK
b3,WFG5,18445,0,18445,18445,0.0,1.0,OK
b3,WFG9,25769,0,25769,25769,0.0,1.0,OK
b3,ZDT1,24575,0,24575,24575,0.0,1.0,OK
b3,ZDT3,28053,0,28053,28053,0.0,1.0,OK
b3,ZDT4,11000,0,11000,11000,0.0,1.0,OK
b3,ZDT6,4230,0,4230,4230,0.0,1.0,OK
b4,BBOB_F1,200,0,200,200,0.0,1.0,OK
b4,BBOB_F17,200,0,200,200,0.0,1.0,OK
b4,BBOB_F22,202,0,202,202,0.0,1.0,OK
b4,BBOB_F37,201,0,201,201,0.0,1.0,OK
b4,BBOB_F49,200,0,200,200,0.0,1.0,OK
b4,BBOB_F5,200,0,200,200,0.0,1.0,OK
b4,BBOB_F55,200,0,200,200,0.0,1.0,OK
b4,DTLZ1,140,0,140,140,0.0,1.0,OK
b4,DTLZ2,240,0,240,240,0.0,1.0,OK
b4,DTLZ3,242,0,242,242,0.0,1.0,OK
b4,DTLZ4,237,0,237,237,0.0,1.0,OK
b4,DTLZ7,441,0,441,441,0.0,1.0,OK
b4,MMF1,41,0,41,41,0.0,1.0,OK
b4,MMF11_L,42,0,42,42,0.0,1.0,OK
b4,MMF16_20,393,0,393,393,0.0,1.0,OK
b4,MMF4,45,0,45,45,0.0,1.0,OK
b4,WFG1,439,0,439,439,0.0,1.0,OK
b4,WFG2,441,0,441,441,0.0,1.0,OK
b4,WFG4,441,0,441,441,0.0,1.0,OK
b4,WFG5,440,0,440,440,0.0,1.0,OK
b4,WFG9,441,0,441,441,0.0,1.0,OK
b4,ZDT1,600,0,600,600,0.0,1.0,OK
b4,ZDT3,599,0,599,599,0.0,1.0,OK
b4,ZDT4,201,0,201,201,0.0,1.0,OK
b4,ZDT6,200,0,200,200,0.0,1.0,OK
b5m,BBOB_F1,0,0,,,,,IDS_AUSENTES
b5m,BBOB_F17,0,0,,,,,IDS_AUSENTES
b5m,BBOB_F22,0,0,,,,,IDS_AUSENTES
b5m,BBOB_F37,0,0,,,,,IDS_AUSENTES
b5m,BBOB_F49,0,0,,,,,IDS_AUSENTES
b5m,BBOB_F5,0,0,,,,,IDS_AUSENTES
b5m,BBOB_F55,0,0,,,,,IDS_AUSENTES
