alg,label,hosts,divergencias
b1,BBOB_F1,vm3=OK:6,
b1,BBOB_F17,vm3=OK:6,
b1,BBOB_F22,vm3=OK:6,
b1,BBOB_F37,vm3=OK:6,
b1,BBOB_F49,vm3=OK:6,
b1,BBOB_F5,vm3=OK:6,
b1,BBOB_F55,vm3=OK:6,
b1,DTLZ1,vm3=OK:6,
b1,DTLZ2,vm3=OK:6,
b1,DTLZ3,vm3=OK:6,
b1,DTLZ7,vm3=OK:6,
b1,MMF1,vm3=OK:6,
b1,MMF11_L,vm3=OK:6,
b1,MMF16_20,vm3=OK:6,
b1,MMF4,vm3=OK:6,
b1,WFG1,vm3=DIF:1,exp_main_b1_WFG1_42.jsonl@vm3(739189vs445917)
b1,WFG2,vm3=OK:6,
b1,WFG4,vm3=OK:6,
b1,WFG5,vm3=OK:6,
b1,WFG9,vm3=OK:6,
b1,ZDT1,,
b1,ZDT3,,
b1,ZDT4,vm3=OK:6,
b1,ZDT6,vm3=OK:6,
b3,BBOB_F1,vm3=OK:6,
b3,BBOB_F17,vm3=OK:6,
b3,BBOB_F22,vm3=OK:6,
b3,BBOB_F37,vm3=OK:6,
b3,BBOB_F49,vm3=OK:6,
b3,BBOB_F5,vm3=OK:6,
b3,BBOB_F55,vm3=OK:6,
b3,DTLZ1,vm3=OK:6,
b3,DTLZ2,vm3=OK:6,
b3,DTLZ3,vm3=OK:6,
b3,DTLZ4,vm3=OK:6,
b3,DTLZ7,vm3=OK:6,
b3,MMF1,vm3=OK:6,
b3,MMF11_L,vm3=OK:6,
b3,MMF16_20,vm3=OK:6,
b3,MMF4,vm3=OK:6,
b3,WFG1,vm3=OK:6,
b3,WFG2,vm3=OK:6,
b3,WFG4,vm3=OK:6,
b3,WFG5,vm3=OK:6,
b3,WFG9,vm3=OK:6,
b3,ZDT1,vm3=OK:6,
b3,ZDT3,vm3=OK:6,
b3,ZDT4,vm3=OK:6,
b3,ZDT6,vm3=OK:6,
b4,BBOB_F1,vm3=OK:6,
b4,BBOB_F17,vm3=OK:6,
b4,BBOB_F22,vm3=OK:6,
b4,BBOB_F37,vm3=OK:6,
b4,BBOB_F49,vm3=OK:6,
b4,BBOB_F5,vm3=OK:6,
b4,BBOB_F55,vm3=OK:6,
b4,DTLZ1,vm3=OK:6,
b4,DTLZ2,vm3=OK:6,
b4,DTLZ3,vm3=OK:6,
b4,DTLZ4,vm3=OK:6,
b4,DTLZ7,vm3=OK:6,
b4,MMF1,vm3=OK:6,
b4,MMF11_L,vm3=OK:6,
b4,MMF16_20,vm3=OK:6,
b4,MMF4,vm3=OK:6,
b4,WFG1,vm3=OK:6,
b4,WFG2,vm3=OK:6,
b4,WFG4,vm3=OK:6,
b4,WFG5,vm3=OK:6,
b4,WFG9,vm3=OK:6,
b4,ZDT1,vm3=OK:6,
b4,ZDT3,vm3=OK:6,
b4,ZDT4,vm3=OK:6,
b4,ZDT6,vm3=OK:6,
b5m,BBOB_F1,,
b5m,BBOB_F17,,
b5m,BBOB_F22,,
b5m,BBOB_F37,,
b5m,BBOB_F49,,
b5m,BBOB_F5,,
b5m,BBOB_F55,,
b5m,DTLZ1,,
b5m,DTLZ2,,
b5m,DTLZ3,,
b5m,DTLZ4,,
b5m,DTLZ7,,
b5m,MMF1,,
b5m,MMF11_L,,
b5m,MMF16_20,,
b5m,MMF4,,
b5m,WFG1,,
b5m,WFG2,,
b5m,WFG4,,
b5m,WFG5,,
b5m,WFG9,,
b5m,ZDT1,,
b5m,ZDT3,,
b5m,ZDT4,,
b5m,ZDT6,,
b5m,swap_medium-lhs_DTLZ2,,
b5m,swap_medium-lhs_MMF16_20,,
b5m,swap_medium-lhs_WFG9,,
b5m,swap_medium-lhs_ZDT1,,
b5m,swap_medium-lhs_ZDT4,,
b5m,swap_medium-mvns_DTLZ2,,
b5m,swap_medium-mvns_MMF16_20,,
b5m,swap_medium-mvns_WFG9,,
b5m,swap_medium-mvns_ZDT1,,
b5m,swap_medium-mvns_ZDT4,,
b5m,swap_small-lhs_DTLZ2,,
b5m,swap_small-lhs_MMF16_20,,
b5m,swap_small-lhs_WFG9,,
b5m,swap_small-lhs_ZDT1,,
b5m,swap_small-lhs_ZDT4,,
b5m,swap_small-mvns_DTLZ2,,
b5m,swap_small-mvns_MMF16_20,,
b5m,swap_small-mvns_WFG9,,
b5m,swap_small-mvns_ZDT1,,
b5m,swap_small-mvns_ZDT4,,
b5r,BBOB_F1,,
b5r,BBOB_F17,,
b5r,BBOB_F22,,
b5r,BBOB_F37,,
b5r,BBOB_F49,,
b5r,BBOB_F5,,
b5r,BBOB_F55,,
b5r,DTLZ1,,
b5r,DTLZ2,,
b5r,DTLZ3,,
b5r,DTLZ4,,
b5r,DTLZ7,,
b5r,MMF1,,
b5r,MMF11_L,,
b5r,MMF16_20,,
b5r,MMF4,,
b5r,WFG1,,
b5r,WFG2,,
b5r,WFG4,,
b5r,WFG5,,
b5r,WFG9,,
b5r,ZDT1,,
b5r,ZDT3,,
b5r,ZDT4,,
b5r,ZDT6,,
b5r,swap_medium-lhs_DTLZ2,,
b5r,swap_medium-lhs_MMF16_20,,
b5r,swap_medium-lhs_WFG9,,
b5r,swap_medium-lhs_ZDT1,,
b5r,swap_medium-lhs_ZDT4,,
b5r,swap_medium-mvns_DTLZ2,,
b5r,swap_medium-mvns_MMF16_20,,
b5r,swap_medium-mvns_WFG9,,
b5r,swap_medium-mvns_ZDT1,,
b5r,swap_medium-mvns_ZDT4,,
b5r,swap_small-lhs_DTLZ2,,
b5r,swap_small-lhs_MMF16_20,,
b5r,swap_small-lhs_WFG9,,
b5r,swap_small-lhs_ZDT1,,
b5r,swap_small-lhs_ZDT4,,
b5r,swap_small-mvns_DTLZ2,,
b5r,swap_small-mvns_MMF16_20,,
b5r,swap_small-mvns_WFG9,,
b5r,swap_small-mvns_ZDT1,,
b5r,swap_small-mvns_ZDT4,,
c122,BBOB_F1,v6=OK:5;vm3=DIF:5,exp_main_c122_BBOB_F1_42.jsonl@vm3(240189vs241137) | exp_main_c122_BBOB_F1_42.manifest.json@vm3(24677vs24659) | exp_main_c122_BBOB_F1_42__pop.parquet@vm3(3164vs3227) | exp_main_c122_BBOB_F1_42__real.parquet@vm3(20890vs20903) | exp_main_c122_BBOB_F1_42__timing.parquet@vm3(6836vs6902)
c122,BBOB_F17,v6=OK:5;vm3=DIF:5,exp_main_c122_BBOB_F17_42.jsonl@vm3(248717vs248395) | exp_main_c122_BBOB_F17_42.manifest.json@vm3(24595vs24589) | exp_main_c122_BBOB_F17_42__pop.parquet@vm3(2930vs2935) | exp_main_c122_BBOB_F17_42__real.parquet@vm3(20819vs20791) | exp_main_c122_BBOB_F17_42__timing.parquet@vm3(6829vs6902)
c122,BBOB_F22,v6=OK:5;vm3=DIF:5,exp_main_c122_BBOB_F22_42.jsonl@vm3(248143vs252862) | exp_main_c122_BBOB_F22_42.manifest.json@vm3(24627vs24636) | exp_main_c122_BBOB_F22_42__pop.parquet@vm3(3061vs2988) | exp_main_c122_BBOB_F22_42__real.parquet@vm3(20736vs20811) | exp_main_c122_BBOB_F22_42__timing.parquet@vm3(6857vs6889)
c122,BBOB_F37,v6=OK:5;vm3=DIF:5,exp_main_c122_BBOB_F37_42.jsonl@vm3(249568vs248576) | exp_main_c122_BBOB_F37_42.manifest.json@vm3(24639vs24624) | exp_main_c122_BBOB_F37_42__pop.parquet@vm3(3873vs4155) | exp_main_c122_BBOB_F37_42__real.parquet@vm3(20955vs20978) | exp_main_c122_BBOB_F37_42__timing.parquet@vm3(6850vs6910)
c122,BBOB_F49,v6=OK:5;vm3=DIF:5,exp_main_c122_BBOB_F49_42.jsonl@vm3(247789vs248587) | exp_main_c122_BBOB_F49_42.manifest.json@vm3(24595vs24598) | exp_main_c122_BBOB_F49_42__pop.parquet@vm3(3180vs3089) | exp_main_c122_BBOB_F49_42__real.parquet@vm3(20794vs20775) | exp_main_c122_BBOB_F49_42__timing.parquet@vm3(6849vs6905)
c122,BBOB_F5,v6=OK:5;vm3=DIF:5,exp_main_c122_BBOB_F5_42.jsonl@vm3(243404vs243422) | exp_main_c122_BBOB_F5_42.manifest.json@vm3(24618vs24663) | exp_main_c122_BBOB_F5_42__pop.parquet@vm3(4113vs3268) | exp_main_c122_BBOB_F5_42__real.parquet@vm3(20751vs20923) | exp_main_c122_BBOB_F5_42__timing.parquet@vm3(6845vs6891)
c122,BBOB_F55,v6=DIF:1;vm3=DIF:5,exp_main_c122_BBOB_F55_42.jsonl@v6(244549vs210464) | exp_main_c122_BBOB_F55_42.jsonl@vm3(244549vs244917) | exp_main_c122_BBOB_F55_42.manifest.json@vm3(24635vs24606) | exp_main_c122_BBOB_F55_42__pop.parquet@vm3(4175vs3216) | exp_main_c122_BBOB_F55_42__real.parquet@vm3(20689vs20800) | exp_main_c122_BBOB_F55_42__timing.parquet@vm3(6828vs6900)
c122,DTLZ1,v6=OK:5;vm3=DIF:5,exp_main_c122_DTLZ1_42.jsonl@vm3(174222vs174779) | exp_main_c122_DTLZ1_42.manifest.json@vm3(18701vs18689) | exp_main_c122_DTLZ1_42__pop.parquet@vm3(2871vs2750) | exp_main_c122_DTLZ1_42__real.parquet@vm3(14342vs14237) | exp_main_c122_DTLZ1_42__timing.parquet@vm3(5533vs5558)
c122,DTLZ2,v6=DIF:1;vm3=DIF:5,exp_main_c122_DTLZ2_42.jsonl@v6(293169vs172593) | exp_main_c122_DTLZ2_42.jsonl@vm3(293169vs292986) | exp_main_c122_DTLZ2_42.manifest.json@vm3(28632vs28577) | exp_main_c122_DTLZ2_42__pop.parquet@vm3(4733vs4812) | exp_main_c122_DTLZ2_42__real.parquet@vm3(29433vs29527) | exp_main_c122_DTLZ2_42__timing.parquet@vm3(7595vs7716)
