problema,b1,b3,b4,c122,c141,c149,c154,c217,c238,c262,e7,e74,e81,moead,nsga2,nsga3,smsemoa,b5m,b5r,e103,moead_media
BBOB_F1,90,93,90,88,91,85,69,95,71,86,80,91,96,93,90,90,90,84,89,73,92
BBOB_F17,90,93,90,88,91,88,69,95,89,86,83,91,96,93,90,90,90,84,89,73,92
BBOB_F22,90,93,90,88,91,85,66,95,56,86,83,91,96,93,90,90,90,84,89,73,92
BBOB_F37,87,93,90,88,91,88,69,95,86,86,83,91,96,93,90,90,90,84,89,73,92
BBOB_F49,90,93,90,88,91,85,66,95,89,86,83,91,96,93,90,90,90,81,89,70,92
BBOB_F5,90,93,87,88,91,88,49,95,50,86,83,91,96,93,90,90,90,81,89,70,92
BBOB_F55,90,93,81,88,91,85,26,95,71,86,83,91,96,93,90,90,90,81,89,73,92
DTLZ1,87,93,90,88,91,88,78,95,89,96,80,91,96,93,90,90,90,81,89,73,92
DTLZ2,90,93,90,88,91,88,72,95,83,86,83,91,93,93,90,90,90,81,89,73,92
DTLZ3,90,93,90,85,91,85,72,95,83,86,80,91,96,93,90,90,90,81,89,70,92
DTLZ4,0,93,90,88,91,85,72,95,83,86,83,91,93,93,90,90,90,81,89,73,92
DTLZ7,84,93,90,82,91,79,72,95,71,83,71,91,86,93,90,90,90,81,89,70,92
MMF1,90,93,90,88,91,88,86,95,89,96,89,88,96,93,90,90,90,81,89,73,92
MMF11_L,90,93,90,88,91,88,86,95,89,96,89,91,96,93,90,90,90,81,89,73,92
MMF16_20,84,93,90,85,91,79,69,95,71,83,71,91,96,93,90,90,90,81,89,73,92
MMF4,90,93,90,88,91,88,86,95,89,96,89,91,96,93,90,90,90,81,89,70,92
WFG1,84,93,84,82,91,79,17,95,71,6,71,91,86,93,90,90,90,81,89,73,92
WFG2,87,93,90,82,91,79,69,95,71,86,68,91,86,93,90,90,90,81,89,73,92
WFG4,87,93,90,79,91,79,69,95,68,86,68,91,86,93,90,90,90,81,89,73,92
WFG5,81,93,90,79,91,79,69,95,71,83,71,91,86,93,90,90,90,81,89,73,92
WFG9,84,93,90,79,91,79,63,95,68,86,71,91,86,93,90,90,90,81,89,73,92
ZDT1,84,87,84,79,91,77,69,95,68,80,71,91,86,93,90,90,90,81,89,73,92
ZDT3,84,87,84,77,91,77,69,95,68,80,71,91,86,93,90,90,90,81,89,73,92
ZDT4,90,93,87,88,91,88,66,95,86,86,80,91,96,93,90,90,90,81,89,73,92
ZDT6,90,93,87,88,91,85,9,95,80,83,83,91,96,93,90,90,90,81,89,70,92
