alg,prob,seed,estado,fe,mx,mot,sem_manifest
b1,BBOB_F1,0,ok,309,309,,False
b1,BBOB_F1,1,ok,309,309,,False
b1,BBOB_F1,10,ok,309,309,,False
b1,BBOB_F1,11,ok,309,309,,False
b1,BBOB_F1,12,ok,309,309,,False
b1,BBOB_F1,13,ok,309,309,,False
b1,BBOB_F1,14,ok,309,309,,False
b1,BBOB_F1,15,ok,309,309,,False
b1,BBOB_F1,16,ok,309,309,,False
b1,BBOB_F1,17,ok,309,309,,False
b1,BBOB_F1,18,ok,309,309,,False
b1,BBOB_F1,19,ok,309,309,,False
b1,BBOB_F1,2,ok,309,309,,False
b1,BBOB_F1,20,ok,309,309,,False
b1,BBOB_F1,21,ok,309,309,,False
b1,BBOB_F1,22,ok,309,309,,False
b1,BBOB_F1,23,ok,309,309,,False
b1,BBOB_F1,24,ok,309,309,,False
b1,BBOB_F1,25,ok,309,309,,False
b1,BBOB_F1,26,ok,309,309,,False
b1,BBOB_F1,27,ok,309,309,,False
b1,BBOB_F1,28,ok,309,309,,False
b1,BBOB_F1,3,ok,309,309,,False
b1,BBOB_F1,4,ok,309,309,,False
b1,BBOB_F1,42,ok,309,309,,False
b1,BBOB_F1,5,ok,309,309,,False
b1,BBOB_F1,6,ok,309,309,,False
b1,BBOB_F1,7,ok,309,309,,False
b1,BBOB_F1,8,ok,309,309,,False
b1,BBOB_F1,9,ok,309,309,,False
b1,BBOB_F17,0,ok,309,309,,False
b1,BBOB_F17,1,ok,309,309,,False
b1,BBOB_F17,10,ok,309,309,,False
b1,BBOB_F17,11,ok,309,309,,False
b1,BBOB_F17,12,ok,309,309,,False
b1,BBOB_F17,13,ok,309,309,,False
b1,BBOB_F17,14,ok,309,309,,False
b1,BBOB_F17,15,ok,309,309,,False
b1,BBOB_F17,16,ok,309,309,,False
b1,BBOB_F17,17,ok,309,309,,False
b1,BBOB_F17,18,ok,309,309,,False
b1,BBOB_F17,19,ok,309,309,,False
b1,BBOB_F17,2,ok,309,309,,False
b1,BBOB_F17,20,ok,309,309,,False
b1,BBOB_F17,21,ok,309,309,,False
b1,BBOB_F17,22,ok,309,309,,False
b1,BBOB_F17,23,ok,309,309,,False
b1,BBOB_F17,24,ok,309,309,,False
b1,BBOB_F17,25,ok,309,309,,False
b1,BBOB_F17,26,ok,309,309,,False
b1,BBOB_F17,27,ok,309,309,,False
b1,BBOB_F17,28,ok,309,309,,False
b1,BBOB_F17,3,ok,309,309,,False
b1,BBOB_F17,4,ok,309,309,,False
b1,BBOB_F17,42,ok,309,309,,False
b1,BBOB_F17,5,ok,309,309,,False
b1,BBOB_F17,6,ok,309,309,,False
b1,BBOB_F17,7,ok,309,309,,False
b1,BBOB_F17,8,ok,309,309,,False
