problema,D,M,N,maxfe,fe_final,n_ger,status,motivo_parada,cache_hits,n_init,wall_s,maq_env,A1_maxfe_31D_1,A1_fe_final_eq,A1_n_real,A1_fe_index_denso,A1_sid_denso,A2_init_11D_1,A2_doe_hash_bate,A2_dX_init,A2_fases,A6_mu_sigma_null,A6_pred_classe_null,A6_pred_tipo,A6_modelo_flag,A6_espaco_transf_null,A10_um_rsid_por_ger,A10_n_escolhidos,A10_rsid_unicos,A10_iter_eq_fe,A10_sonda_sem_rsid,A10_top100_exato,A10_n_dec,A10_dec_eq_nger,A10_ncands0,A10_gens_sem_rsid,A10_linhas_busca,A10_max_linhas_ger,A8_ftm_monotonico,A8_ftm_quedas,A8_ftm_eq_arch_menos1,A8_ftm_min,A8_ftm_max,A4_cadencia_ok,A4_n_blocos,A4_n_blocos_manifesto,A4_blocos_2000,A4_finalprobe,A4_ultima_coberta,A5_dX_sonda_1,A5_dX_sonda_last,A7_n_timing,A7_timing_eq_nger,A7_inv1_frac,A7_sonda_pos_frac,A7_fitseries_eq,A7_n_acum_eq,A_pop_N_todas,A_pop_ngrupos,A_pop_ids_no_real,A_pop_escolhido_entra_frac,A12_ez_id_frac,A12_ez_id_maxdelta,A12_sm_id_frac,A12_argmax_frac,A12_ez_null_ncands1,A12_ez_null_total,A12_ncands1,A13_conf_sonda_media,A13_conf_sonda_frac1,A13_conf_busca_min,A13_conf_busca_med,A13_conf_busca_frac1,A15_prioridade_frac,A15_n_Q1,A15_n_Q2,A15_n_Q3,A15_n_None,A16_qmax_frac,A16_n_estourou300,A16_max_ncands,A18_pool7000_frac,A18_acordo_med,A18_desacordo_med,A17_distinct_n,A17_distinct_pool_null,A17_distinct_scf_null,A17_cat_None_eq_distinct,A19_P_sem_modelo,A19_P_gate_frac,A19_P_Eupd_frac,A19_P_Eupd_n,A19_P_Eupd_med,A19_P_skip_frac,A19_P_epocas_pos,A19_P_epocas_zero_quando_skip,A21_P_frac_acc_com_1,A21_P_frac_todas_1,A19_S_sem_modelo,A19_S_gate_frac,A19_S_Eupd_frac,A19_S_Eupd_n,A19_S_Eupd_med,A19_S_skip_frac,A19_S_epocas_pos,A19_S_epocas_zero_quando_skip,A21_S_frac_acc_com_1,A21_S_frac_todas_1,A20_Tmax,A20_Tmax_formula,A20_reinit_p,A20_reinit_s,A20_fit0_pnet,A20_fit0_snet,A20_fit0_ntreino,A20_fit0_epocas,A22_fmin,A22_fmax,A22_const_no_log,A22_eq_manifesto,A23_xnorm,A25_visualization,A28_dtype_params,A28_dtype_pinning,A33_sbx,A33_pm,A33_indpb_1_n,A34_fnn,A34_adam,A34_Einit,A34_gamma,A34_Qmax,A34_theta,A34_pool,A32_N_tabela2,A9_n_guards,A9_tipos_guard,A9_spin_total_footer,A9_spin_guards,A9_spin_bate,A9_cache_footer,A9_cache_manifesto,A9_n_cache_infill,A9_skip_p_footer,A9_skip_s_footer,A9_skip_bate,A9_footer_status,A9_footer_motivo,A9_footer_cp_init,A9_n_footer,A30_spin_cap_disparos,A30_teto_wall_disparos,A30_cache_travado,A30_max_tentativa,A24_seq_len,A24_rodadas_completas,A24_rodadas_total,A24_perm_frac,A24_1a_rodada_natural,A24_cids_unicos,A24_resto,A27_ez_max_g1,A27_ez_max_g1_gt_2N,A27_frac_g1_gt_2N,A27_ez_max_g2plus,A27_ez_max_g2plus_le_2N,A27_ez_max_g1_le_2ninit,H_sonda_frac_pos_b1,H_sonda_frac_pos_b2,H_sonda_frac_pos_ult,H_sonda_blocos_zerados,H_sonda_n_blocos,H_sonda_ger_1o_zero,H_sonda_frac_blocos_zerados_pos_b1,U11_rho_ez_ndom,U11_ndom_med,U11_frac_infill_domina,U11_frac_infill_ndom0
BBOB_F1,10,2,11,309,309,200,ok,orcamento,0,109,1044.8088,jupyter,True,True,309,True,True,True,True,2.375113989927513e-07,init|opt,True,True,score,EDN-par(2xFNN),True,True,200,200,True,True,True,200,True,0,0,10087,100,True,0,True,108,307,True,101,101,True,False,True,2.384185791015625e-07,2.384185791015625e-07,200,True,1.0,1.0,True,True,True,200,True,0.5628140703517588,1.0,1.4101562499035936e-05,1.0,1.0,10,10,10,1.0,1.0,0.592989444732666,0.9984033703804016,0.3208089620303361,1.0,117,44,1,38,1.0,11,300,1.0,6129.5,870.5,38,1.0,1.0,True,0,1.0,1.0,24,2.5,0.88,24,True,0.68,0.03,0,1.0,1.0,137,8.0,0.315,137,True,0.275,0.065,134,True,0,0,True,True,109,20,"[0.0, 0.0]","[90.2462, 90.2462]",True,True,"[-1,1]",False,float32,torch.float64,"proC=1.0,disC=30.0","proM=1.0,indpb=0.100000,disM=20.0",True,"2x200 ReLU, logits-3","{'lr': 0.001, 'batch': 32, 'weight_decay': 1e-05}",20,0.9,300,5,7000,True,1,spin_resample:1,1,1,True,0,0,0,176,63,True,ok,orcamento,True,2,0,0,0,1,201,18,18,1.0,True,11,3,130.34410095214844,True,0.6695,9.439169883728027,True,True,0.9915,0.1275,0.0,31,101,24,0.31,-0.06286797003412982,115.0,1.0,0.0
BBOB_F17,10,2,11,309,309,200,ok,orcamento,0,109,1788.4302,jupyter,True,True,309,True,True,True,True,2.3787903291605517e-07,init|opt,True,True,score,EDN-par(2xFNN),True,True,200,200,True,True,True,200,True,0,0,11084,100,True,0,True,108,307,True,101,101,True,False,True,2.384185791015625e-07,2.384185791015625e-07,200,True,1.0,1.0,True,True,True,200,True,0.4472361809045226,1.0,1.5142578149607289e-05,1.0,1.0,17,17,17,1.0,1.0,0.6492788195610046,0.9985155463218689,0.2668711656441718,1.0,108,58,15,19,1.0,12,300,1.0,4849.0,2151.0,19,1.0,1.0,True,0,1.0,1.0,153,5.0,0.235,153,True,0.155,0.0,0,1.0,1.0,163,10.0,0.185,163,True,0.11,0.0,134,True,0,0,True,True,109,20,"[0.7912, 0.3073]","[62669199.920880005, 118.68875]",True,True,"[-1,1]",False,float32,torch.float64,"proC=1.0,disC=30.0","proM=1.0,indpb=0.100000,disM=20.0",True,"2x200 ReLU, logits-3","{'lr': 0.001, 'batch': 32, 'weight_decay': 1e-05}",20,0.9,300,5,7000,True,4,spin_resample:4,4,4,True,0,0,0,47,37,True,ok,orcamento,True,2,0,0,0,1,204,18,18,1.0,True,11,6,146.82408142089844,True,0.5035,8.737174987792969,True,True,0.9635,0.0975,0.0,16,101,160,0.16,-0.08875705206003116,98.0,1.0,0.0
BBOB_F22,10,2,11,309,309,200,ok,orcamento,0,109,1170.9984,jupyter,True,True,309,True,True,True,True,2.345476923792944e-07,init|opt,True,True,score,EDN-par(2xFNN),True,True,200,200,True,True,True,200,True,0,0,10726,100,True,0,True,108,307,True,101,101,True,False,True,2.384185791015625e-07,2.384185791015625e-07,200,True,1.0,1.0,True,True,True,200,True,0.5477386934673367,1.0,1.3208984398715984e-05,1.0,1.0,11,11,11,1.0,1.0,0.5747066140174866,0.9966625571250916,0.20417676673503635,1.0,80,68,32,20,1.0,5,300,1.0,4504.5,2495.5,20,1.0,1.0,True,0,1.0,1.0,84,2.0,0.58,84,True,0.395,0.005,0,1.0,1.0,164,7.0,0.18,164,True,0.21,0.02,134,True,0,0,True,True,109,20,"[2.5729, 22.0423]","[102149.72361, 1335.04641]",True,True,"[-1,1]",False,float32,torch.float64,"proC=1.0,disC=30.0","proM=1.0,indpb=0.100000,disM=20.0",True,"2x200 ReLU, logits-3","{'lr': 0.001, 'batch': 32, 'weight_decay': 1e-05}",20,0.9,300,5,7000,True,10,spin_resample:10,10,10,True,0,0,0,116,36,True,ok,orcamento,True,2,0,0,0,2,210,19,19,1.0,True,11,1,122.39627838134766,True,0.818,6.1165947914123535,True,True,0.9925,0.1115,0.0,21,101,142,0.21,-0.2053324470726998,138.5,1.0,0.0
BBOB_F37,10,2,11,309,309,200,ok,orcamento,0,109,1553.9396,jupyter,True,True,309,True,True,True,True,2.3685163252906705e-07,init|opt,True,True,score,EDN-par(2xFNN),True,True,200,200,True,True,True,200,True,0,0,13498,100,True,0,True,108,307,True,101,101,True,False,True,2.384185791015625e-07,2.384185791015625e-07,200,True,1.0,1.0,True,True,True,200,True,0.4472361809045226,1.0,1.5328125016367267e-05,1.0,1.0,7,7,7,1.0,1.0,0.6125913858413696,1.0,0.5611201659505112,1.0,63,50,11,76,1.0,7,300,1.0,4762.5,2237.5,76,1.0,1.0,True,0,1.0,1.0,129,3.0,0.355,129,True,0.23,0.0,0,1.0,1.0,160,9.0,0.2,160,True,0.29,0.01,134,True,0,0,True,True,109,20,"[17.8485, 23.3374]","[1895.3769000000002, 427.03927]",True,True,"[-1,1]",False,float32,torch.float64,"proC=1.0,disC=30.0","proM=1.0,indpb=0.100000,disM=20.0",True,"2x200 ReLU, logits-3","{'lr': 0.001, 'batch': 32, 'weight_decay': 1e-05}",20,0.9,300,5,7000,True,9,spin_resample:9,9,9,True,0,0,0,71,40,True,ok,orcamento,True,2,0,0,0,1,209,19,19,1.0,True,11,0,137.3412322998047,True,0.714,11.655481338500977,True,True,0.982,0.5755,0.5305,0,101,-1,0.0,-0.4436680114687235,131.0,1.0,0.0
BBOB_F49,10,2,11,309,309,200,ok,orcamento,0,109,1816.4583,jupyter,True,True,309,True,True,True,True,2.365150315597475e-07,init|opt,True,True,score,EDN-par(2xFNN),True,True,200,200,True,True,True,200,True,0,0,11447,100,True,0,True,108,307,True,101,101,True,False,True,2.384185791015625e-07,2.384185791015625e-07,200,True,1.0,1.0,True,True,True,200,True,0.5778894472361809,1.0,2.263281248815474e-05,1.0,1.0,12,12,12,1.0,1.0,0.6138049364089966,1.0,0.542412859264436,1.0,87,41,17,55,1.0,8,300,1.0,4301.0,2699.0,55,1.0,1.0,True,0,1.0,1.0,159,3.0,0.205,159,True,0.21,0.0,0,1.0,1.0,176,9.0,0.12,176,True,0.24,0.005,134,True,0,0,True,True,109,20,"[25.3176, 0.0123]","[1365.08801, 93.22146000000001]",True,True,"[-1,1]",False,float32,torch.float64,"proC=1.0,disC=30.0","proM=1.0,indpb=0.100000,disM=20.0",True,"2x200 ReLU, logits-3","{'lr': 0.001, 'batch': 32, 'weight_decay': 1e-05}",20,0.9,300,5,7000,True,2,spin_resample:2,2,2,True,0,0,0,41,24,True,ok,orcamento,True,2,0,0,0,1,202,18,18,1.0,True,11,4,119.6408462524414,True,0.6565,9.238160133361816,True,True,0.9785,0.691,0.39,0,101,-1,0.0,-0.3768324141156596,130.5,1.0,0.0
BBOB_F5,10,2,11,309,309,200,ok,orcamento,0,109,1244.1348,jupyter,True,True,309,True,True,True,True,2.3727650955152058e-07,init|opt,True,True,score,EDN-par(2xFNN),True,True,200,200,True,True,True,200,True,0,0,13920,100,True,0,True,108,307,True,101,101,True,False,True,2.384185791015625e-07,2.384185791015625e-07,200,True,1.0,1.0,True,True,True,200,True,0.4221105527638191,1.0,1.2873046898675966e-05,1.0,1.0,9,9,9,1.0,1.0,0.5544677376747131,1.0,0.6551724137931034,1.0,70,33,4,93,1.0,6,300,1.0,5882.0,1118.0,93,1.0,1.0,True,0,1.0,1.0,57,2.0,0.715,57,True,0.53,0.015,0,1.0,1.0,167,7.0,0.165,167,True,0.275,0.045,134,True,0,0,True,True,109,20,"[0.0156, 33.9822]","[96.02987, 1641.89213]",True,True,"[-1,1]",False,float32,torch.float64,"proC=1.0,disC=30.0","proM=1.0,indpb=0.100000,disM=20.0",True,"2x200 ReLU, logits-3","{'lr': 0.001, 'batch': 32, 'weight_decay': 1e-05}",20,0.9,300,5,7000,True,0,,0,0,True,0,0,0,143,33,True,ok,orcamento,True,2,0,0,0,0,200,18,18,1.0,True,11,2,164.0558624267578,True,0.778,11.34803581237793,True,True,0.9845,0.1145,0.0,24,101,20,0.24,-0.16204394452496076,121.0,1.0,0.0
BBOB_F55,10,2,11,309,309,200,ok,orcamento,0,109,1656.1431,jupyter,True,True,309,True,True,True,True,2.3578255614609134e-07,init|opt,True,True,score,EDN-par(2xFNN),True,True,200,200,True,True,True,200,True,0,0,13286,100,True,0,True,108,307,True,101,101,True,False,True,2.384185791015625e-07,2.384185791015625e-07,200,True,1.0,1.0,True,True,True,200,True,0.49748743718592964,1.0,1.4996093739227945e-05,1.0,1.0,9,9,9,1.0,0.999980198019802,0.5867107510566711,1.0,0.7101460183651964,1.0,60,43,14,83,1.0,9,300,1.0,4127.0,2873.0,83,1.0,1.0,True,0,1.0,1.0,131,3.0,0.345,131,True,0.22,0.01,0,1.0,1.0,158,10.5,0.21,158,True,0.365,0.05,134,True,0,0,True,True,109,20,"[0.0002, 0.1473]","[82.62912, 69.30969]",True,True,"[-1,1]",False,float32,torch.float64,"proC=1.0,disC=30.0","proM=1.0,indpb=0.100000,disM=20.0",True,"2x200 ReLU, logits-3","{'lr': 0.001, 'batch': 32, 'weight_decay': 1e-05}",20,0.9,300,5,7000,True,5,spin_resample:5,5,5,True,0,0,0,69,42,True,ok,orcamento,True,2,0,0,0,1,205,18,18,1.0,True,11,7,173.85928344726562,True,0.828,11.383496284484863,True,True,0.996,0.1175,0.0,10,101,178,0.1,0.11661163104118756,154.0,1.0,0.0
DTLZ1,7,3,15,216,216,140,ok,orcamento,0,76,710.7661,jupyter,True,True,216,True,True,True,True,2.968073053999376e-08,init|opt,True,True,score,EDN-par(2xFNN),True,True,140,140,True,True,True,140,True,0,0,5446,100,True,0,True,75,214,True,71,71,True,False,True,2.9802322387695312e-08,2.9802322387695312e-08,140,True,1.0,1.0,True,True,True,140,True,0.3237410071942446,1.0,1.5195312528248905e-05,1.0,1.0,6,6,6,1.0,1.0,0.6405691504478455,0.9997208118438721,0.28718325376423065,1.0,96,35,9,0,1.0,1,300,1.0,5667.0,1333.0,0,,,True,0,1.0,1.0,119,5.0,0.15,119,True,0.21428571428571427,0.0,0,1.0,1.0,96,9.0,0.3142857142857143,96,True,0.5571428571428572,0.16428571428571428,101,True,0,0,True,True,76,20,"[0.0, 0.0, 0.0]","[0.55, 0.55, 0.55]",True,True,"[-1,1]",False,float32,torch.float64,"proC=1.0,disC=30.0","proM=1.0,indpb=0.142857,disM=20.0",True,"2x200 ReLU, logits-3","{'lr': 0.001, 'batch': 32, 'weight_decay': 1e-05}",20,0.9,300,5,7000,True,2,spin_resample:2,2,2,True,0,0,0,21,44,True,ok,orcamento,True,2,0,0,0,1,142,9,9,1.0,True,15,7,84.34614562988281,True,0.093,9.981734275817871,True,True,0.9565,0.2525,0.0225,0,71,-1,0.0,-0.15680337199051048,20.0,0.9714285714285714,0.02857142857142857
DTLZ2,12,3,15,371,371,240,ok,orcamento,0,131,1347.3818,jupyter,True,True,371,True,True,True,True,2.976508484131557e-08,init|opt,True,True,score,EDN-par(2xFNN),True,True,240,240,True,True,True,240,True,0,0,7661,100,True,0,True,130,369,True,121,121,True,False,True,2.9802322387695312e-08,2.9802322387695312e-08,240,True,1.0,1.0,True,True,True,240,True,0.4225941422594142,1.0,1.5236328124501597e-05,1.0,1.0,6,6,6,1.0,1.0,0.5880217552185059,0.9984294772148132,0.13784101292259496,1.0,196,41,3,0,1.0,1,300,1.0,6592.5,407.5,0,,,True,0,1.0,1.0,85,3.0,0.6458333333333334,85,True,0.5125,0.016666666666666666,0,1.0,1.0,123,6.0,0.4875,123,True,0.6916666666666667,0.22916666666666666,156,True,0,0,True,True,131,20,"[0.0, 0.0, 0.0]","[1.1, 1.1, 1.1]",True,True,"[-1,1]",False,float32,torch.float64,"proC=1.0,disC=30.0","proM=1.0,indpb=0.083333,disM=20.0",True,"2x200 ReLU, logits-3","{'lr': 0.001, 'batch': 32, 'weight_decay': 1e-05}",20,0.9,300,5,7000,True,0,,0,0,True,0,0,0,155,117,True,ok,orcamento,True,2,0,0,0,0,240,16,16,1.0,True,15,0,65.1719741821289,True,0.0745,3.941624164581299,True,True,0.9745,0.1215,0.0065,0,121,-1,0.0,-0.06975776802123193,29.0,1.0,0.0
DTLZ3,12,3,15,371,371,240,ok,orcamento,0,131,2262.1675,jupyter,True,True,371,True,True,True,True,2.9797159739608503e-08,init|opt,True,True,score,EDN-par(2xFNN),True,True,240,240,True,True,True,240,True,0,0,6535,100,True,0,True,130,369,True,121,121,True,False,True,2.9802322387695312e-08,2.9802322387695312e-08,240,True,1.0,1.0,True,True,True,240,True,0.26359832635983266,1.0,1.4554687481904693e-05,1.0,1.0,13,13,13,1.0,1.0,0.5196998119354248,0.9973557591438293,0.23580719204284623,1.0,155,54,31,0,1.0,1,300,1.0,5538.0,1462.0,0,,,True,0,1.0,1.0,199,4.0,0.17083333333333334,199,True,0.18333333333333332,0.0,0,1.0,1.0,182,6.0,0.24166666666666667,182,True,0.49166666666666664,0.058333333333333334,156,True,0,0,True,True,131,20,"[0.0, 0.0, 0.0]","[1.1, 1.1, 1.1]",True,True,"[-1,1]",False,float32,torch.float64,"proC=1.0,disC=30.0","proM=1.0,indpb=0.083333,disM=20.0",True,"2x200 ReLU, logits-3","{'lr': 0.001, 'batch': 32, 'weight_decay': 1e-05}",20,0.9,300,5,7000,True,1,spin_resample:1,1,1,True,0,0,0,41,58,True,ok,orcamento,True,2,0,0,0,1,241,16,16,1.0,True,15,1,94.91818237304688,True,0.149,7.999222755432129,True,True,0.9435,0.198,0.0085,0,121,-1,0.0,-0.2005141803537143,61.5,1.0,0.0
