label,exp,tier,dist,problema,it,elegivel,delta_log,delta_pred,c_k,C_k,early_stop,casa
BBOB_F1,off,small,lhs,BBOB_F1,1,False,1.0,1.0,6.0,6.0,False,True
BBOB_F1,off,small,lhs,BBOB_F1,2,False,1.0,1.0,2.0,8.0,False,True
BBOB_F1,off,small,lhs,BBOB_F1,3,False,1.0,1.0,1.0,9.0,False,True
BBOB_F1,off,small,lhs,BBOB_F1,4,False,1.0,1.0,0.0,9.0,False,True
BBOB_F17,off,small,lhs,BBOB_F17,1,False,1.0,1.0,4.0,4.0,False,True
BBOB_F17,off,small,lhs,BBOB_F17,2,False,1.0,1.0,3.0,7.0,False,True
BBOB_F17,off,small,lhs,BBOB_F17,3,False,1.0,1.0,1.0,8.0,False,True
BBOB_F17,off,small,lhs,BBOB_F17,4,False,1.0,1.0,0.0,8.0,False,True
BBOB_F22,off,small,lhs,BBOB_F22,1,False,1.0,1.0,4.0,4.0,False,True
BBOB_F22,off,small,lhs,BBOB_F22,2,False,1.0,1.0,2.0,6.0,False,True
BBOB_F22,off,small,lhs,BBOB_F22,3,False,1.0,1.0,0.0,6.0,False,True
BBOB_F22,off,small,lhs,BBOB_F22,4,False,1.0,1.0,0.0,6.0,False,True
BBOB_F37,off,small,lhs,BBOB_F37,1,False,1.0,1.0,5.0,5.0,False,True
BBOB_F37,off,small,lhs,BBOB_F37,2,False,1.0,1.0,1.0,6.0,False,True
BBOB_F37,off,small,lhs,BBOB_F37,3,False,1.0,1.0,1.0,7.0,False,True
BBOB_F37,off,small,lhs,BBOB_F37,4,False,1.0,1.0,0.0,7.0,False,True
BBOB_F49,off,small,lhs,BBOB_F49,1,False,1.0,1.0,5.0,5.0,False,True
BBOB_F49,off,small,lhs,BBOB_F49,2,False,1.0,1.0,1.0,6.0,False,True
BBOB_F49,off,small,lhs,BBOB_F49,3,False,1.0,1.0,1.0,7.0,False,True
BBOB_F49,off,small,lhs,BBOB_F49,4,False,1.0,1.0,0.0,7.0,False,True
BBOB_F5,off,small,lhs,BBOB_F5,1,False,1.0,1.0,5.0,5.0,False,True
BBOB_F5,off,small,lhs,BBOB_F5,2,False,1.0,1.0,1.0,6.0,False,True
BBOB_F5,off,small,lhs,BBOB_F5,3,False,1.0,1.0,0.0,6.0,False,True
BBOB_F5,off,small,lhs,BBOB_F5,4,False,1.0,1.0,0.0,6.0,False,True
BBOB_F55,off,small,lhs,BBOB_F55,1,False,1.0,1.0,5.0,5.0,False,True
BBOB_F55,off,small,lhs,BBOB_F55,2,False,1.0,1.0,0.0,5.0,False,True
BBOB_F55,off,small,lhs,BBOB_F55,3,False,1.0,1.0,0.0,5.0,False,True
BBOB_F55,off,small,lhs,BBOB_F55,4,False,1.0,1.0,0.0,5.0,False,True
DTLZ1,off,small,lhs,DTLZ1,1,False,1.0,1.0,8.0,8.0,False,True
DTLZ1,off,small,lhs,DTLZ1,2,False,1.0,1.0,5.0,13.0,False,True
DTLZ1,off,small,lhs,DTLZ1,3,False,1.0,1.0,2.0,15.0,False,True
DTLZ1,off,small,lhs,DTLZ1,4,False,1.0,1.0,0.0,15.0,False,True
DTLZ2,off,small,lhs,DTLZ2,1,False,1.0,1.0,7.0,7.0,False,True
DTLZ2,off,small,lhs,DTLZ2,2,False,1.0,1.0,4.0,11.0,False,True
DTLZ2,off,small,lhs,DTLZ2,3,False,1.0,1.0,1.0,12.0,False,True
DTLZ2,off,small,lhs,DTLZ2,4,False,1.0,1.0,0.0,12.0,False,True
DTLZ3,off,small,lhs,DTLZ3,1,False,1.0,1.0,6.0,6.0,False,True
DTLZ3,off,small,lhs,DTLZ3,2,False,1.0,1.0,2.0,8.0,False,True
DTLZ3,off,small,lhs,DTLZ3,3,False,1.0,1.0,1.0,9.0,False,True
DTLZ3,off,small,lhs,DTLZ3,4,False,1.0,1.0,0.0,9.0,False,True
DTLZ4,off,small,lhs,DTLZ4,1,False,1.0,1.0,7.0,7.0,False,True
DTLZ4,off,small,lhs,DTLZ4,2,False,1.0,1.0,0.0,7.0,False,True
DTLZ4,off,small,lhs,DTLZ4,3,False,1.0,1.0,0.0,7.0,False,True
DTLZ4,off,small,lhs,DTLZ4,4,False,1.0,1.0,0.0,7.0,False,True
DTLZ7,off,small,lhs,DTLZ7,1,False,1.0,1.0,7.0,7.0,False,True
DTLZ7,off,small,lhs,DTLZ7,2,False,1.0,1.0,2.0,9.0,False,True
DTLZ7,off,small,lhs,DTLZ7,3,False,1.0,1.0,0.0,9.0,False,True
DTLZ7,off,small,lhs,DTLZ7,4,False,1.0,1.0,0.0,9.0,False,True
MMF1,off,small,lhs,MMF1,1,False,1.0,1.0,5.0,5.0,False,True
MMF1,off,small,lhs,MMF1,2,False,1.0,1.0,3.0,8.0,False,True
MMF1,off,small,lhs,MMF1,3,False,1.0,1.0,1.0,9.0,False,True
MMF1,off,small,lhs,MMF1,4,False,1.0,1.0,0.0,9.0,False,True
MMF11_L,off,small,lhs,MMF11_L,1,False,1.0,1.0,4.0,4.0,False,True
MMF11_L,off,small,lhs,MMF11_L,2,False,1.0,1.0,2.0,6.0,False,True
MMF11_L,off,small,lhs,MMF11_L,3,False,1.0,1.0,1.0,7.0,False,True
MMF11_L,off,small,lhs,MMF11_L,4,False,1.0,1.0,0.0,7.0,False,True
MMF16_20,off,small,lhs,MMF16_20,1,False,1.0,1.0,6.0,6.0,False,True
MMF16_20,off,small,lhs,MMF16_20,2,False,1.0,1.0,3.0,9.0,False,True
MMF16_20,off,small,lhs,MMF16_20,3,False,1.0,1.0,0.0,9.0,False,True
MMF16_20,off,small,lhs,MMF16_20,4,False,1.0,1.0,0.0,9.0,False,True
MMF4,off,small,lhs,MMF4,1,False,1.0,1.0,6.0,6.0,False,True
MMF4,off,small,lhs,MMF4,2,False,1.0,1.0,4.0,10.0,False,True
MMF4,off,small,lhs,MMF4,3,False,1.0,1.0,2.0,12.0,False,True
MMF4,off,small,lhs,MMF4,4,False,1.0,1.0,0.0,12.0,False,True
WFG1,off,small,lhs,WFG1,1,False,1.0,1.0,5.0,5.0,False,True
WFG1,off,small,lhs,WFG1,2,False,1.0,1.0,3.0,8.0,False,True
WFG1,off,small,lhs,WFG1,3,False,1.0,1.0,0.0,8.0,False,True
WFG1,off,small,lhs,WFG1,4,False,1.0,1.0,0.0,8.0,False,True
WFG2,off,small,lhs,WFG2,1,False,1.0,1.0,4.0,4.0,False,True
WFG2,off,small,lhs,WFG2,2,False,1.0,1.0,0.0,4.0,False,True
WFG2,off,small,lhs,WFG2,3,False,1.0,1.0,0.0,4.0,False,True
WFG2,off,small,lhs,WFG2,4,False,1.0,1.0,0.0,4.0,False,True
WFG4,off,small,lhs,WFG4,1,False,1.0,1.0,6.0,6.0,False,True
WFG4,off,small,lhs,WFG4,2,False,1.0,1.0,4.0,10.0,False,True
WFG4,off,small,lhs,WFG4,3,False,1.0,1.0,0.0,10.0,False,True
