label,exp,tier,dist,problema,obj,D,N,Nmin,n_folhas_log,n_folhas_rec,prof_log,prof_rec,teto_folhas,folhas_grandes,folhas_pequenas,maior_folha
BBOB_F1,off,small,lhs,BBOB_F1,0,10,309,100,3,3,2,2,3,0,0,108
BBOB_F1,off,small,lhs,BBOB_F1,1,10,309,100,3,3,2,2,3,0,0,108
BBOB_F17,off,small,lhs,BBOB_F17,0,10,309,100,3,3,2,2,3,0,0,107
BBOB_F17,off,small,lhs,BBOB_F17,1,10,309,100,2,2,1,1,3,0,0,196
BBOB_F22,off,small,lhs,BBOB_F22,0,10,309,100,2,2,1,1,3,0,0,162
BBOB_F22,off,small,lhs,BBOB_F22,1,10,309,100,2,2,1,1,3,0,0,182
BBOB_F37,off,small,lhs,BBOB_F37,0,10,309,100,3,3,2,2,3,0,0,105
BBOB_F37,off,small,lhs,BBOB_F37,1,10,309,100,2,2,1,1,3,0,0,191
BBOB_F49,off,small,lhs,BBOB_F49,0,10,309,100,3,3,2,2,3,0,0,109
BBOB_F49,off,small,lhs,BBOB_F49,1,10,309,100,2,2,1,1,3,0,0,172
BBOB_F5,off,small,lhs,BBOB_F5,0,10,309,100,3,3,2,2,3,0,0,109
BBOB_F5,off,small,lhs,BBOB_F5,1,10,309,100,2,2,1,1,3,0,0,175
BBOB_F55,off,small,lhs,BBOB_F55,0,10,309,100,2,2,1,1,3,0,0,188
BBOB_F55,off,small,lhs,BBOB_F55,1,10,309,100,3,3,2,2,3,0,0,107
DTLZ1,off,small,lhs,DTLZ1,0,7,216,70,3,3,2,2,3,0,0,74
DTLZ1,off,small,lhs,DTLZ1,1,7,216,70,3,3,2,2,3,0,0,75
DTLZ1,off,small,lhs,DTLZ1,2,7,216,70,2,2,1,1,3,0,0,121
DTLZ2,off,small,lhs,DTLZ2,0,12,371,120,2,2,1,1,3,0,0,228
DTLZ2,off,small,lhs,DTLZ2,1,12,371,120,3,3,2,2,3,0,0,126
DTLZ2,off,small,lhs,DTLZ2,2,12,371,120,2,2,1,1,3,0,0,229
DTLZ3,off,small,lhs,DTLZ3,0,12,371,120,2,2,1,1,3,0,0,236
DTLZ3,off,small,lhs,DTLZ3,1,12,371,120,2,2,1,1,3,0,0,190
DTLZ3,off,small,lhs,DTLZ3,2,12,371,120,2,2,1,1,3,0,0,219
DTLZ4,off,small,lhs,DTLZ4,0,12,371,120,3,3,2,2,3,0,0,130
DTLZ4,off,small,lhs,DTLZ4,1,12,371,120,2,2,1,1,3,1,0,251
DTLZ4,off,small,lhs,DTLZ4,2,12,371,120,2,2,1,1,3,1,0,251
DTLZ7,off,small,lhs,DTLZ7,0,22,681,220,2,2,1,1,3,0,0,341
DTLZ7,off,small,lhs,DTLZ7,1,22,681,220,2,2,1,1,3,0,0,341
DTLZ7,off,small,lhs,DTLZ7,2,22,681,220,3,3,2,2,3,0,0,233
MMF1,off,small,lhs,MMF1,0,2,61,20,3,3,2,2,3,0,0,21
MMF1,off,small,lhs,MMF1,1,2,61,20,2,2,1,1,3,0,0,34
MMF11_L,off,small,lhs,MMF11_L,0,2,61,20,2,2,1,1,3,0,0,31
MMF11_L,off,small,lhs,MMF11_L,1,2,61,20,3,3,2,2,3,0,0,21
MMF16_20,off,small,lhs,MMF16_20,0,20,619,200,2,2,1,1,3,0,0,339
MMF16_20,off,small,lhs,MMF16_20,1,20,619,200,2,2,1,1,3,0,0,381
MMF16_20,off,small,lhs,MMF16_20,2,20,619,200,2,2,1,1,3,0,0,369
MMF4,off,small,lhs,MMF4,0,2,61,20,3,3,2,2,3,0,0,21
MMF4,off,small,lhs,MMF4,1,2,61,20,3,3,2,2,3,0,0,21
WFG1,off,small,lhs,WFG1,0,22,681,220,3,3,2,2,3,0,0,232
WFG1,off,small,lhs,WFG1,1,22,681,220,3,3,2,2,3,0,0,240
WFG2,off,small,lhs,WFG2,0,22,681,220,2,2,1,1,3,0,0,382
WFG2,off,small,lhs,WFG2,1,22,681,220,2,2,1,1,3,0,0,410
