label,tier,dist,problema,D,N,I_eff,I_max,k_paper,es,delta_it,ger_extra
swap_big-lhs_DTLZ2,big,lhs,DTLZ2,12,50000,99,417,96,True,3,153
swap_big-lhs_MMF16_20,big,lhs,MMF16_20,20,50000,44,250,43,True,1,51
swap_big-lhs_WFG9,big,lhs,WFG9,22,50000,6,228,2,True,4,204
swap_big-lhs_ZDT1,big,lhs,ZDT1,30,50000,18,167,17,True,1,51
swap_big-lhs_ZDT4,big,lhs,ZDT4,10,50000,50,500,49,True,1,51
swap_big-mvns_DTLZ2,big,mvns,DTLZ2,12,50000,56,417,55,True,1,51
swap_big-mvns_WFG9,big,mvns,WFG9,22,50000,8,228,5,True,3,153
swap_big-mvns_ZDT1,big,mvns,ZDT1,30,50000,61,167,60,True,1,51
swap_big-mvns_ZDT4,big,mvns,ZDT4,10,50000,30,500,29,True,1,51
swap_medium-lhs_DTLZ2,medium,lhs,DTLZ2,12,2000,14,17,13,True,1,51
swap_medium-lhs_MMF16_20,medium,lhs,MMF16_20,20,2000,10,10,9,True,1,51
swap_medium-lhs_WFG9,medium,lhs,WFG9,22,2000,6,10,3,True,3,153
swap_medium-lhs_ZDT1,medium,lhs,ZDT1,30,2000,6,7,4,True,2,102
swap_medium-lhs_ZDT4,medium,lhs,ZDT4,10,2000,7,20,6,True,1,51
swap_medium-mvns_DTLZ2,medium,mvns,DTLZ2,12,2000,14,17,13,True,1,51
swap_medium-mvns_MMF16_20,medium,mvns,MMF16_20,20,2000,10,10,9,True,1,51
swap_medium-mvns_WFG9,medium,mvns,WFG9,22,2000,8,10,2,True,6,306
swap_medium-mvns_ZDT1,medium,mvns,ZDT1,30,2000,7,7,6,True,1,51
swap_medium-mvns_ZDT4,medium,mvns,ZDT4,10,2000,10,20,7,True,3,153
BBOB_F1,small,lhs,BBOB_F1,10,309,4,4,4,False,0,0
BBOB_F17,small,lhs,BBOB_F17,10,309,4,4,4,False,0,0
BBOB_F22,small,lhs,BBOB_F22,10,309,4,4,3,False,1,51
BBOB_F37,small,lhs,BBOB_F37,10,309,4,4,4,False,0,0
BBOB_F49,small,lhs,BBOB_F49,10,309,4,4,4,False,0,0
BBOB_F5,small,lhs,BBOB_F5,10,309,4,4,3,False,1,51
BBOB_F55,small,lhs,BBOB_F55,10,309,4,4,2,False,2,102
DTLZ1,small,lhs,DTLZ1,7,216,4,4,4,False,0,0
DTLZ2,small,lhs,DTLZ2,12,371,4,4,4,False,0,0
DTLZ3,small,lhs,DTLZ3,12,371,4,4,4,False,0,0
DTLZ4,small,lhs,DTLZ4,12,371,4,4,2,False,2,102
DTLZ7,small,lhs,DTLZ7,22,681,4,4,3,False,1,51
MMF1,small,lhs,MMF1,2,61,4,4,4,False,0,0
MMF11_L,small,lhs,MMF11_L,2,61,4,4,4,False,0,0
MMF16_20,small,lhs,MMF16_20,20,619,4,4,3,False,1,51
MMF4,small,lhs,MMF4,2,61,4,4,4,False,0,0
WFG1,small,lhs,WFG1,22,681,4,4,3,False,1,51
WFG2,small,lhs,WFG2,22,681,4,4,2,False,2,102
WFG4,small,lhs,WFG4,22,681,4,4,3,False,1,51
WFG5,small,lhs,WFG5,22,681,4,4,2,False,2,102
WFG9,small,lhs,WFG9,22,681,4,4,2,False,2,102
ZDT1,small,lhs,ZDT1,30,929,4,4,4,False,0,0
ZDT3,small,lhs,ZDT3,30,929,4,4,4,False,0,0
ZDT4,small,lhs,ZDT4,10,309,4,4,3,False,1,51
ZDT6,small,lhs,ZDT6,10,309,4,4,2,False,2,102
swap_small-lhs_DTLZ2,small,lhs,DTLZ2,12,371,4,4,4,False,0,0
swap_small-lhs_MMF16_20,small,lhs,MMF16_20,20,619,4,4,3,False,1,51
swap_small-lhs_WFG9,small,lhs,WFG9,22,681,4,4,2,False,2,102
swap_small-lhs_ZDT1,small,lhs,ZDT1,30,929,4,4,4,False,0,0
swap_small-lhs_ZDT4,small,lhs,ZDT4,10,309,4,4,3,False,1,51
swap_small-mvns_DTLZ2,small,mvns,DTLZ2,12,371,4,4,4,False,0,0
swap_small-mvns_MMF16_20,small,mvns,MMF16_20,20,619,4,4,4,False,0,0
swap_small-mvns_WFG9,small,mvns,WFG9,22,681,4,4,2,False,2,102
swap_small-mvns_ZDT1,small,mvns,ZDT1,30,929,4,4,4,False,0,0
swap_small-mvns_ZDT4,small,mvns,ZDT4,10,309,4,4,3,False,1,51
