label,exp,tier,dist,problema,obj,it,incremento,Nmin,na_banda
BBOB_F1,off,small,lhs,BBOB_F1,0,1,108.0,100,True
BBOB_F1,off,small,lhs,BBOB_F1,1,1,100.0,100,True
BBOB_F1,off,small,lhs,BBOB_F1,1,2,101.0,100,True
BBOB_F1,off,small,lhs,BBOB_F1,1,3,108.0,100,True
BBOB_F17,off,small,lhs,BBOB_F17,0,1,102.0,100,True
BBOB_F17,off,small,lhs,BBOB_F17,0,2,100.0,100,True
BBOB_F17,off,small,lhs,BBOB_F17,0,3,107.0,100,True
BBOB_F17,off,small,lhs,BBOB_F17,1,1,113.0,100,True
BBOB_F17,off,small,lhs,BBOB_F17,1,2,196.0,100,True
BBOB_F22,off,small,lhs,BBOB_F22,0,1,162.0,100,True
BBOB_F22,off,small,lhs,BBOB_F22,0,2,147.0,100,True
BBOB_F22,off,small,lhs,BBOB_F22,1,1,127.0,100,True
BBOB_F22,off,small,lhs,BBOB_F22,1,2,182.0,100,True
BBOB_F37,off,small,lhs,BBOB_F37,0,1,105.0,100,True
BBOB_F37,off,small,lhs,BBOB_F37,0,2,102.0,100,True
BBOB_F37,off,small,lhs,BBOB_F37,1,1,118.0,100,True
BBOB_F37,off,small,lhs,BBOB_F37,1,3,191.0,100,True
BBOB_F49,off,small,lhs,BBOB_F49,0,1,100.0,100,True
BBOB_F49,off,small,lhs,BBOB_F49,0,2,100.0,100,True
BBOB_F49,off,small,lhs,BBOB_F49,1,1,137.0,100,True
BBOB_F49,off,small,lhs,BBOB_F49,1,3,172.0,100,True
BBOB_F5,off,small,lhs,BBOB_F5,0,1,100.0,100,True
BBOB_F5,off,small,lhs,BBOB_F5,1,1,134.0,100,True
BBOB_F5,off,small,lhs,BBOB_F5,1,2,175.0,100,True
BBOB_F55,off,small,lhs,BBOB_F55,0,1,121.0,100,True
BBOB_F55,off,small,lhs,BBOB_F55,1,1,101.0,100,True
DTLZ1,off,small,lhs,DTLZ1,0,1,71.0,70,True
DTLZ1,off,small,lhs,DTLZ1,0,2,71.0,70,True
DTLZ1,off,small,lhs,DTLZ1,0,3,74.0,70,True
DTLZ1,off,small,lhs,DTLZ1,1,1,70.0,70,True
DTLZ1,off,small,lhs,DTLZ1,1,2,71.0,70,True
DTLZ1,off,small,lhs,DTLZ1,1,3,75.0,70,True
DTLZ1,off,small,lhs,DTLZ1,2,1,95.0,70,True
DTLZ1,off,small,lhs,DTLZ1,2,2,121.0,70,True
DTLZ2,off,small,lhs,DTLZ2,0,1,228.0,120,True
DTLZ2,off,small,lhs,DTLZ2,0,2,143.0,120,True
DTLZ2,off,small,lhs,DTLZ2,1,1,125.0,120,True
DTLZ2,off,small,lhs,DTLZ2,1,2,120.0,120,True
DTLZ2,off,small,lhs,DTLZ2,1,3,126.0,120,True
DTLZ2,off,small,lhs,DTLZ2,2,1,229.0,120,True
DTLZ2,off,small,lhs,DTLZ2,2,2,142.0,120,True
DTLZ3,off,small,lhs,DTLZ3,0,1,236.0,120,True
DTLZ3,off,small,lhs,DTLZ3,0,3,135.0,120,True
DTLZ3,off,small,lhs,DTLZ3,1,1,181.0,120,True
DTLZ3,off,small,lhs,DTLZ3,1,2,190.0,120,True
DTLZ3,off,small,lhs,DTLZ3,2,1,219.0,120,True
DTLZ3,off,small,lhs,DTLZ3,2,2,152.0,120,True
DTLZ4,off,small,lhs,DTLZ4,0,1,120.0,120,True
DTLZ4,off,small,lhs,DTLZ4,1,1,120.0,120,True
DTLZ4,off,small,lhs,DTLZ4,2,1,120.0,120,True
DTLZ7,off,small,lhs,DTLZ7,0,1,341.0,220,True
DTLZ7,off,small,lhs,DTLZ7,0,2,340.0,220,True
DTLZ7,off,small,lhs,DTLZ7,1,1,341.0,220,True
DTLZ7,off,small,lhs,DTLZ7,1,2,340.0,220,True
DTLZ7,off,small,lhs,DTLZ7,2,1,222.0,220,True
MMF1,off,small,lhs,MMF1,0,1,20.0,20,True
MMF1,off,small,lhs,MMF1,0,2,20.0,20,True
MMF1,off,small,lhs,MMF1,0,3,21.0,20,True
MMF1,off,small,lhs,MMF1,1,1,34.0,20,True
MMF1,off,small,lhs,MMF1,1,2,27.0,20,True
MMF11_L,off,small,lhs,MMF11_L,0,1,31.0,20,True
MMF11_L,off,small,lhs,MMF11_L,0,2,30.0,20,True
MMF11_L,off,small,lhs,MMF11_L,1,1,21.0,20,True
MMF11_L,off,small,lhs,MMF11_L,1,2,20.0,20,True
MMF11_L,off,small,lhs,MMF11_L,1,3,20.0,20,True
MMF16_20,off,small,lhs,MMF16_20,0,1,339.0,200,True
MMF16_20,off,small,lhs,MMF16_20,0,2,280.0,200,True
MMF16_20,off,small,lhs,MMF16_20,1,1,381.0,200,True
MMF16_20,off,small,lhs,MMF16_20,1,2,238.0,200,True
