label,exp,tier,dist,problema,obj,wape,corr,cobertura95,n_validas_mu,n_nan_mu,n_sigma_valido,sigma_nan_share
WFG5,off,small,lhs,WFG5,1,0.4597311263464829,0.09211723210531772,1.0,20000,0,6466,0.6767000000000001
WFG9,off,small,lhs,WFG9,0,0.49491150706096143,0.10232717780413193,1.0,20000,0,7178,0.6411
WFG9,off,small,lhs,WFG9,1,0.535871465345794,-0.0697627563108034,1.0,20000,0,7178,0.6411
ZDT1,off,small,lhs,ZDT1,0,2.744659420718201e-07,0.9999999999998345,1.0,20000,0,20000,0.0
ZDT1,off,small,lhs,ZDT1,1,0.02711703908147191,0.9421808328003449,0.9513257995420636,20000,0,13539,0.32304999999999995
ZDT3,off,small,lhs,ZDT3,0,1.952782044405049e-07,0.999999999999922,1.0,20000,0,20000,0.0
ZDT3,off,small,lhs,ZDT3,1,0.07674342628316148,0.7935081643028634,0.86975,20000,0,20000,0.0
ZDT4,off,small,lhs,ZDT4,0,9.189336983954382e-07,0.9999999999963026,1.0,20000,0,20000,0.0
ZDT4,off,small,lhs,ZDT4,1,0.15151961432443184,0.2072833897222063,0.9272180451127819,20000,0,6650,0.6675
ZDT6,off,small,lhs,ZDT6,0,0.08229731209277086,0.4767677737482594,0.921308440055547,20000,0,6481,0.67595
ZDT6,off,small,lhs,ZDT6,1,0.016381418796144707,0.7862619939990861,0.8182482418485707,20000,0,10949,0.45255
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,0,0.0791519236926697,0.9822098565861396,0.9312246553122465,20000,0,6165,0.69175
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,1,0.0802044561832754,0.9820325373017526,0.9361175305381314,20000,0,6058,0.6971
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,2,0.083619073430587,0.970719632703937,0.9387821556496255,20000,0,3071,0.84645
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,0,0.06407979464127621,0.9910889520641221,0.9792304328815041,20000,0,4574,0.7713
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,1,0.0639318097191703,0.9912847191465243,0.9735866543095458,20000,0,4316,0.7842
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,2,0.028972026373812732,0.9966181354884134,0.9965588437715073,20000,0,2906,0.8547
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,0,0.22277483640181514,0.39347558237903907,1.0,20000,0,105,0.99475
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,1,0.2278213985145139,0.3862187610189437,1.0,20000,0,100,0.995
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,0,0.003417008739987334,0.9999733084545908,1.0,20000,0,2503,0.87485
swap_big-lhs_ZDT1,sweep-big-lhs,big,lhs,ZDT1,1,0.07877566834524297,0.8205192193993032,0.9121756487025948,20000,0,501,0.97495
