label,exp,tier,dist,problema,D,M,N,I_eff,n_elig,hit_elig,hit_sentinela,n_sentinela,early_stop_disparou,delta_zero_log,delta_zero_pred,tppm_hit,tppm_pares
BBOB_F1,off,small,lhs,BBOB_F1,10,2,309,4,0,0,4,4,False,0,0,8,8
BBOB_F17,off,small,lhs,BBOB_F17,10,2,309,4,0,0,4,4,False,0,0,8,8
BBOB_F22,off,small,lhs,BBOB_F22,10,2,309,4,0,0,4,4,False,0,0,8,8
BBOB_F37,off,small,lhs,BBOB_F37,10,2,309,4,0,0,4,4,False,0,0,8,8
BBOB_F49,off,small,lhs,BBOB_F49,10,2,309,4,0,0,4,4,False,0,0,8,8
BBOB_F5,off,small,lhs,BBOB_F5,10,2,309,4,0,0,4,4,False,0,0,8,8
BBOB_F55,off,small,lhs,BBOB_F55,10,2,309,4,0,0,4,4,False,0,0,8,8
DTLZ1,off,small,lhs,DTLZ1,7,3,216,4,0,0,4,4,False,0,0,12,12
DTLZ2,off,small,lhs,DTLZ2,12,3,371,4,0,0,4,4,False,0,0,12,12
DTLZ3,off,small,lhs,DTLZ3,12,3,371,4,0,0,4,4,False,0,0,12,12
DTLZ4,off,small,lhs,DTLZ4,12,3,371,4,0,0,4,4,False,0,0,12,12
DTLZ7,off,small,lhs,DTLZ7,22,3,681,4,0,0,4,4,False,0,0,12,12
MMF1,off,small,lhs,MMF1,2,2,61,4,0,0,4,4,False,0,0,8,8
MMF11_L,off,small,lhs,MMF11_L,2,2,61,4,0,0,4,4,False,0,0,8,8
MMF16_20,off,small,lhs,MMF16_20,20,3,619,4,0,0,4,4,False,0,0,12,12
MMF4,off,small,lhs,MMF4,2,2,61,4,0,0,4,4,False,0,0,8,8
WFG1,off,small,lhs,WFG1,22,2,681,4,0,0,4,4,False,0,0,8,8
WFG2,off,small,lhs,WFG2,22,2,681,4,0,0,4,4,False,0,0,8,8
WFG4,off,small,lhs,WFG4,22,2,681,4,0,0,4,4,False,0,0,8,8
WFG5,off,small,lhs,WFG5,22,2,681,4,0,0,4,4,False,0,0,8,8
WFG9,off,small,lhs,WFG9,22,2,681,4,0,0,4,4,False,0,0,8,8
ZDT1,off,small,lhs,ZDT1,30,2,929,4,0,0,4,4,False,0,0,8,8
ZDT3,off,small,lhs,ZDT3,30,2,929,4,0,0,4,4,False,0,0,8,8
ZDT4,off,small,lhs,ZDT4,10,2,309,4,0,0,4,4,False,0,0,8,8
ZDT6,off,small,lhs,ZDT6,10,2,309,4,0,0,4,4,False,0,0,8,8
swap_big-lhs_DTLZ2,sweep-big-lhs,big,lhs,DTLZ2,12,3,50000,99,94,94,5,5,True,1,1,297,297
swap_big-lhs_MMF16_20,sweep-big-lhs,big,lhs,MMF16_20,20,3,50000,44,39,39,5,5,True,1,1,132,132
swap_big-lhs_WFG9,sweep-big-lhs,big,lhs,WFG9,22,2,50000,6,1,1,5,5,True,1,1,12,12
