problema,n,J1,J2,J4,J5,J6,J7,s0_eq,s0_corr,s1_rel,s1_rel0,dmu_med_rel,rcond_min
BBOB_F1,59,13,42,19,12,30,52,0.6411016949152543,0.9891430876685445,0.0005694346819230772,0.18363330830898233,0.00018597498686717272,1.073187077959251e-08
BBOB_F17,57,52,56,42,42,51,47,0.6895614035087719,0.9981506398930549,0.0061901958307692675,0.18350341863205072,0.0006764395365304674,2.48542860409919e-10
BBOB_F22,51,40,45,43,39,44,43,0.8123529411764706,0.9985288451777925,0.001079164551201917,0.1835155487561828,0.0028419852044422535,1.321287411446852e-08
BBOB_F37,50,38,41,46,46,48,48,0.89,0.9996858503055879,0.00042553469082312807,0.1835076251286622,0.00013694242119208997,1.903318133765665e-08
BBOB_F49,51,49,46,42,39,46,45,0.7350980392156863,0.9973865961142241,0.0030055833153065613,0.18350927133831305,0.0005733341503642818,1.374052950144372e-08
BBOB_F5,56,9,33,20,17,29,30,0.4310714285714286,0.6196316108183223,0.002676030342182085,0.18548963103276306,0.0003594195880484838,2.39196697382326e-24
BBOB_F55,54,35,28,44,42,49,49,0.8471296296296296,0.9995587458051185,0.0007343083647794256,0.18351914171761927,0.00014710704166259338,1.4037962904524956e-09
DTLZ1,31,31,31,30,30,30,31,0.9386672325976231,0.9999410090525097,0.0010798805969294751,0.1835561293501089,0.0030772419911940917,7.02584848294852e-12
DTLZ2,65,65,65,60,59,64,64,0.896076923076923,0.9999412532872124,0.0004978489345046858,0.18361575804213348,0.00024840950567937614,4.61932528207344e-09
DTLZ3,64,64,64,55,49,56,62,0.850625,0.999823019185577,0.005068265735911469,0.18348057848785038,0.005028277443301265,7.500894552741042e-11
DTLZ4,63,63,63,3,0,17,34,0.28476190476190477,0.8621967442779541,1.3326206757868597,0.9445441369031915,0.00028224673107097453,4.7412644287136785e-08
DTLZ7,102,90,102,92,90,95,95,0.9123529411764706,0.9990589707580371,0.00017577954343235016,0.18351272780623862,5.7372109666079487e-05,5.436057482445256e-13
MMF1,12,12,11,12,12,12,12,0.9265873015873015,0.9988465220652346,0.0011394732290199079,0.18364499634739195,0.0017814683129666119,5.184974090963287e-17
MMF11_L,12,8,8,11,11,10,12,0.9206349206349206,0.998805788531708,0.03244441798497882,0.1952253884855967,3.397886024487447e-05,3.906240348249952e-17
MMF16_20,119,72,118,71,55,90,97,0.5560924369747899,0.996780457451326,0.011004937201735763,0.18343899222650117,0.0015252946203930342,5.989687579262771e-08
MMF4,11,11,10,10,9,10,10,0.9112554112554112,0.9913032325368512,0.0005287028805824656,0.1835104548190214,0.0004663005559581422,4.496348659942893e-12
WFG1,124,102,103,110,107,116,122,0.9117338709677418,0.9998223780858645,0.00018742055704583716,0.18351591648711504,6.484315472305357e-05,6.311283440939877e-08
WFG2,141,118,130,131,124,135,139,0.8536879432624114,0.9973606589878032,7.636564459766922e-05,0.18350341132822945,1.2831938095686107e-05,9.986066869640027e-12
WFG4,125,90,90,110,107,115,119,0.8563999999999999,0.9980786383836289,0.0004555676039640203,0.1835593573784427,0.000407098932882656,4.117745412181858e-10
WFG5,121,104,91,104,100,111,109,0.8238842975206612,0.9993063019722821,0.00114377373700172,0.18358535165496048,0.0006666680838592564,8.881870810404005e-11
WFG9,124,122,121,120,118,120,121,0.9311693548387097,0.9998669799046352,0.00015428318411406803,0.1835087082019356,0.0001884650680589238,3.026656412578832e-11
ZDT1,173,169,167,168,156,169,165,0.896849710982659,0.9990697355672541,0.000518584581228529,0.18365125281260172,0.0011587733920293347,3.018596939086765e-14
ZDT3,181,175,177,162,151,167,168,0.7963812154696133,0.9992370166103501,0.005278781638650843,0.1845441565923528,0.0013398966553409455,1.9145855034315857e-10
ZDT4,57,55,56,56,55,56,56,0.9450877192982455,0.9997883973189127,7.045506762478807e-05,0.1835034118494401,1.847328795233547e-05,6.059511394747423e-12
ZDT6,64,62,49,26,20,36,41,0.541328125,0.9691432955932295,0.13234215252597648,0.18040667590081863,0.00033102930557172487,3.4346535753116594e-13
