problema,D,M,geracao,n_treino,lote_log,nivel,ramo_QU,n_front1_log,n_front1_rec,n_front2_log,n_front2_rec,lote_rec,fit1max_log,fit1max_rec,fit1min_log,fit1min_rec,fit1med_log,fit1med_rec,fit2med_log,fit2med_rec,fit3med_log,fit3med_rec,Qmin_log,Qmin_rec,Qmax_log,Qmax_rec,Umin_log,Umin_rec,Umax_log,Umax_rec,Upool_log,Upool_rec,s0_obsmax,s0_eq,s0_corr,s0_int,s0_max_teorico,s1_relmed,s1_relmed_ddof0,dmu_max,dmu_med,dmu_med_rel,rcond,solved,n_pool,fe_treino_max,hp_n,dupX,ninA,dif
BBOB_F1,10,2,1,109,4,3,True,104,104,17,19,4,0.0244365986602317,0.0244365762425452,0.0012140773512657,0.0002231454920125,0.0059831018166514,0.0066881644720773,-4.191095429694231,-4.323282408344681,0.0440286402047169,0.0439791911718764,19.0,21,35.0,39,2.0,0,32.0,36,386,386,386.0,0.35,0.9967493628801048,1.0,398,0.0352371944606852,0.1547323702735558,3.03559621408904,1.974557257098656,0.1021767985072457,0.0016624658326186,True,200,108,109,4,0,0
BBOB_F1,10,2,2,113,3,3,True,130,130,19,18,3,0.0101449483303618,0.0101449552277217,0.0,0.0,0.0046814634819107,0.0049365537391789,0.3185092816473744,0.2821387343750272,0.0327385675952064,0.0338577847291665,21.0,20,40.0,38,8.0,6,36.0,34,390,390,390.0,0.59,0.9985613488037034,1.0,398,0.0153818854972324,0.1956829527399506,1.2864710018326593,0.1422431247993767,0.0068436849190023,5.730068408087269e-05,True,200,112,113,4,2,0
BBOB_F1,10,2,3,116,4,3,True,128,128,33,35,4,0.0129527918658491,0.0129527826169144,0.0001089014871822,0.0001089012753214,0.0040729365728436,0.0044175638519189,0.7987257939431025,0.7917833195114646,0.0244117786240293,0.0233225082135299,40.0,43,62.0,65,14.0,10,60.0,64,376,376,376.0,0.38,0.9963650850522858,1.0,398,0.0082197540010605,0.185158777179434,1.2868828140888615,0.0839301644012842,0.0040747756875884,5.4524787891624713e-05,True,200,115,116,4,1,0
BBOB_F1,10,2,4,120,4,3,True,125,127,16,17,4,0.0124560959780782,0.012456088732741,0.0001199792732017,0.0001199804479508,0.0055169108672142,0.0054331625039806,0.8279155031091374,0.8340436716794176,0.0092244238165034,0.0092035671590771,20.0,21,32.0,35,6.0,8,30.0,30,390,390,390.0,0.43,0.9971407486982192,1.0,398,0.0048268900769635,0.1835034167189371,0.4227347029226962,0.0573359223325553,0.0027775829626773,4.775540872733704e-05,True,200,119,120,7,3,2
BBOB_F1,10,2,5,124,4,3,True,132,134,20,20,5,0.0114913748535365,0.0114913746861012,0.0004043269331881,0.0004043280264773,0.003610893700957,0.0032558678978168,0.839165705571796,0.8393936895759796,0.0121329643008485,0.0121332210776873,22.0,22,40.0,39,8.0,6,36.0,36,378,378,378.0,0.465,0.9983655170481918,1.0,398,0.0028208176619302,0.1840441227657746,0.2708211483558074,0.0324365259145116,0.001545070726775,3.181524220467966e-05,True,200,123,124,2,6,2
BBOB_F1,10,2,6,128,4,3,True,145,145,13,14,3,0.0117159923655081,0.011715994434682,0.0010037744951483,0.0010037731945271,0.0046366440283884,0.0048684022696135,0.9020816412802156,0.9028994127511828,0.0143132369093965,0.0135233506440641,16.0,18,27.0,29,4.0,2,24.0,26,392,392,392.0,0.49,0.9975721776906814,1.0,398,0.0027231723291002,0.1835034450616796,0.3085507230847002,0.0314027564722148,0.0014897409738825,1.0128875289370702e-05,True,200,127,128,3,6,0
BBOB_F1,10,2,7,132,2,3,True,146,150,16,16,2,0.0098930201707982,0.0098930065220242,0.0,0.0,0.0037983151446129,0.0037983143465151,0.8895019203776275,0.8871312417767295,0.0096672747041968,0.0096670248364831,19.0,19,33.0,33,4.0,4,30.0,30,366,366,366.0,0.5,0.9986973806359594,1.0,398,0.002553915247724,0.183712146451478,0.3137431840191595,0.0279504799563063,0.0013272922271093,8.615422883645849e-06,True,200,131,132,3,10,4
BBOB_F1,10,2,8,134,3,3,True,138,142,14,17,4,0.0114939398977499,0.0094555356858766,0.0020034464325646,0.0020034468829701,0.0054162101688565,0.0054800439697512,0.9710255083680366,0.9778572148126744,0.0065409244381195,0.0059909760876378,16.0,19,28.0,34,4.0,4,26.0,32,386,386,386.0,0.595,0.9987875121915192,1.0,398,0.0021293956437047,0.1839545714020073,0.3640313761738696,0.0238788905710691,0.0011335249471984,8.521629305611933e-06,True,200,133,134,4,7,4
BBOB_F1,10,2,9,137,3,3,True,153,153,24,26,2,0.0102043841745474,0.0102044034251311,0.0,0.0,0.0045339470442327,0.0044016215521328,0.9299713678459618,0.9241279953116308,0.0059270023684066,0.0058907633953783,30.0,33,46.0,49,12.0,8,46.0,50,386,386,386.0,0.58,0.9991753290961992,1.0,398,0.0025308018077676,0.1850479134974524,0.2701804710351798,0.027632424275847,0.0013135381442533,8.372112728652595e-06,True,200,136,137,2,8,0
BBOB_F1,10,2,10,140,3,3,True,153,154,14,15,3,0.0109893861551122,0.0109893828390399,0.0002683246122813,0.0002683197735509,0.0053527526118511,0.0052343910430958,0.9027087161051668,0.921405580085068,0.0078158792388321,0.0072208043582326,17.0,20,28.0,30,4.0,2,26.0,28,390,390,390.0,0.705,0.9994984788600366,1.0,398,0.0021119116638387,0.1846292039660775,0.3279681928198954,0.0255422200218391,0.0012076091759689,8.211063716895805e-06,True,200,139,140,4,4,1
BBOB_F1,10,2,11,143,4,3,True,148,153,19,16,3,0.0098586428012015,0.0080427815998912,0.0004702900939714,0.0004702927524236,0.0038505280400567,0.0040051723591994,0.9413798340029818,0.9370226658457156,0.0044970439047738,0.0045402962163777,24.0,21,39.0,33,6.0,6,36.0,30,388,388,388.0,0.695,0.9989080223634802,1.0,398,0.0014819736130051,0.1836508532398219,0.2184711279260085,0.0177662846933353,0.0008516778473327,7.889250883911961e-06,True,200,142,143,5,12,5
BBOB_F1,10,2,12,146,5,3,True,155,157,15,13,5,0.0135114139817316,0.0135114156738497,0.0005866215818925,0.00058662751033,0.004934622616252,0.0049346168671629,0.935210100891787,0.902092860599383,0.0043010353984272,0.0059048345004534,18.0,16,29.0,25,2.0,2,28.0,24,368,374,368.0,0.07,0.9755577994138735,1.0,398,0.0168336073723423,0.1915140057202578,0.2301969633609248,0.0284791898573422,0.0013680524736692,3.4031949311415983e-06,True,200,145,147,7,11,2
