alg,label,seed,status,n3,n_flag,n_cmp,sid_fora_L1,frac_exact,frac_1e6,max_dX,err
b1,BBOB_F1,42,OK,291680,97,97,0,1.0,1.0,0.0,
b1,BBOB_F17,42,OK,294932,118,118,0,1.0,1.0,0.0,
b1,BBOB_F22,42,OK,392720,4564,4564,0,1.0,1.0,0.0,
b1,BBOB_F37,42,OK,894464,115201,115201,0,1.0,1.0,0.0,
b1,BBOB_F49,42,OK,868880,140343,140343,0,1.0,1.0,0.0,
b1,BBOB_F5,42,OK,308020,83,83,0,1.0,1.0,0.0,
b1,BBOB_F55,42,OK,287816,84,84,0,1.0,1.0,0.0,
b1,DTLZ1,42,OK,202360,812,812,0,1.0,1.0,0.0,
b1,DTLZ2,42,OK,362000,181,181,0,1.0,1.0,0.0,
b1,DTLZ3,42,OK,362000,162,162,0,1.0,1.0,0.0,
b1,DTLZ7,42,OK,846800,317,317,0,1.0,1.0,0.0,
b1,MMF1,42,OK,54224,832,832,0,1.0,1.0,0.0,
b1,MMF11_L,42,OK,45200,186,186,0,1.0,1.0,0.0,
b1,MMF16_20,42,OK,736400,340,340,0,1.0,1.0,0.0,
b1,MMF4,42,OK,45200,60,60,0,1.0,1.0,0.0,
b1,WFG1,42,OK,854888,179,179,0,1.0,1.0,0.0,
b1,WFG2,42,OK,846800,365,365,0,1.0,1.0,0.0,
b1,WFG4,42,OK,846800,361,361,0,1.0,1.0,0.0,
b1,WFG5,42,OK,846800,354,354,0,1.0,1.0,0.0,
b1,WFG9,42,OK,846800,318,318,0,1.0,1.0,0.0,
b1,ZDT1,42,OK,1365176,354,354,0,1.0,1.0,0.0,
b1,ZDT3,42,OK,1359456,353,353,0,1.0,1.0,0.0,
b1,ZDT4,42,OK,285200,91,91,0,1.0,1.0,0.0,
b1,ZDT6,42,OK,285200,153,153,0,1.0,1.0,0.0,
b3,BBOB_F1,42,OK,111750,7063,7063,0,1.0,1.0,0.0,
b3,BBOB_F17,42,OK,105123,4814,4814,0,1.0,1.0,0.0,
b3,BBOB_F22,42,OK,102203,4657,4657,0,1.0,1.0,0.0,
b3,BBOB_F37,42,OK,101160,4801,4801,0,1.0,1.0,0.0,
b3,BBOB_F49,42,OK,106529,7253,7253,0,1.0,1.0,0.0,
b3,BBOB_F5,42,OK,118536,8591,8591,0,1.0,1.0,0.0,
b3,BBOB_F55,42,OK,103065,6621,6621,0,1.0,1.0,0.0,
b3,DTLZ1,42,OK,60293,3833,3833,0,1.0,1.0,0.0,
b3,DTLZ2,42,OK,115807,6862,6862,0,1.0,1.0,0.0,
b3,DTLZ3,42,OK,103998,7570,7570,0,1.0,1.0,0.0,
b3,DTLZ4,42,OK,95881,3568,3568,0,1.0,1.0,0.0,
b3,DTLZ7,42,OK,210518,14602,14602,0,1.0,1.0,0.0,
b3,MMF1,42,OK,24709,833,833,0,1.0,1.0,0.0,
b3,MMF11_L,42,OK,23048,603,603,0,1.0,1.0,0.0,
b3,MMF16_20,42,OK,167175,14051,14051,0,1.0,1.0,0.0,
b3,MMF4,42,OK,24978,759,759,0,1.0,1.0,0.0,
b3,WFG1,42,OK,230962,14377,14377,0,1.0,1.0,0.0,
b3,WFG2,42,OK,272288,26007,26007,0,1.0,1.0,0.0,
b3,WFG4,42,OK,266881,21191,21191,0,1.0,1.0,0.0,
b3,WFG5,42,OK,256774,18445,18445,0,1.0,1.0,0.0,
b3,WFG9,42,OK,248308,25769,25769,0,1.0,1.0,0.0,
b3,ZDT1,42,OK,344965,24575,24575,0,1.0,1.0,0.0,
b3,ZDT3,42,OK,379101,28053,28053,0,1.0,1.0,0.0,
b3,ZDT4,42,OK,99841,11000,11000,0,1.0,1.0,0.0,
b3,ZDT6,42,OK,102415,4230,4230,0,1.0,1.0,0.0,
b4,BBOB_F1,42,OK,202200,200,200,0,1.0,1.0,0.0,
b4,BBOB_F17,42,OK,202200,200,200,0,1.0,1.0,0.0,
b4,BBOB_F22,42,OK,206202,202,202,0,1.0,1.0,0.0,
b4,BBOB_F37,42,OK,204201,201,201,0,1.0,1.0,0.0,
b4,BBOB_F49,42,OK,202200,200,200,0,1.0,1.0,0.0,
b4,BBOB_F5,42,OK,202200,200,200,0,1.0,1.0,0.0,
b4,BBOB_F55,42,OK,202200,200,200,0,1.0,1.0,0.0,
b4,DTLZ1,42,OK,142140,140,140,0,1.0,1.0,0.0,
b4,DTLZ2,42,OK,272240,240,240,0,1.0,1.0,0.0,
b4,DTLZ3,42,OK,246242,242,242,0,1.0,1.0,0.0,
b4,DTLZ4,42,OK,342237,237,237,0,1.0,1.0,0.0,
b4,DTLZ7,42,OK,426441,441,441,0,1.0,1.0,0.0,
b4,MMF1,42,OK,48041,41,41,0,1.0,1.0,0.0,
b4,MMF11_L,42,OK,44042,42,42,0,1.0,1.0,0.0,
b4,MMF16_20,42,OK,94393,393,393,0,1.0,1.0,0.0,
b4,MMF4,42,OK,52045,45,45,0,1.0,1.0,0.0,
b4,WFG1,42,OK,188439,439,439,0,1.0,1.0,0.0,
b4,WFG2,42,OK,446441,441,441,0,1.0,1.0,0.0,
b4,WFG4,42,OK,276441,441,441,0,1.0,1.0,0.0,
b4,WFG5,42,OK,372440,440,440,0,1.0,1.0,0.0,
b4,WFG9,42,OK,444441,441,441,0,1.0,1.0,0.0,
b4,ZDT1,42,OK,560600,600,600,0,1.0,1.0,0.0,
b4,ZDT3,42,OK,550599,599,599,0,1.0,1.0,0.0,
b4,ZDT4,42,OK,204201,201,201,0,1.0,1.0,0.0,
b4,ZDT6,42,OK,206200,200,200,0,1.0,1.0,0.0,
b5m,BBOB_F1,42,no_flagged,60050,0,,,,,,
b5m,BBOB_F17,42,no_flagged,60050,0,,,,,,
b5m,BBOB_F22,42,no_flagged,60050,0,,,,,,
b5m,BBOB_F37,42,no_flagged,60050,0,,,,,,
b5m,BBOB_F49,42,no_flagged,60050,0,,,,,,
b5m,BBOB_F5,42,no_flagged,60050,0,,,,,,
b5m,BBOB_F55,42,no_flagged,60050,0,,,,,,
b5m,DTLZ1,42,no_flagged,60005,0,,,,,,
b5m,DTLZ2,42,no_flagged,60005,0,,,,,,
b5m,DTLZ3,42,no_flagged,60005,0,,,,,,
b5m,DTLZ4,42,no_flagged,60005,0,,,,,,
b5m,DTLZ7,42,no_flagged,60005,0,,,,,,
b5m,MMF1,42,no_flagged,60050,0,,,,,,
b5m,MMF11_L,42,no_flagged,60050,0,,,,,,
b5m,MMF16_20,42,no_flagged,60005,0,,,,,,
b5m,MMF4,42,no_flagged,60050,0,,,,,,
b5m,WFG1,42,no_flagged,60050,0,,,,,,
b5m,WFG2,42,no_flagged,60050,0,,,,,,
b5m,WFG4,42,no_flagged,60050,0,,,,,,
b5m,WFG5,42,no_flagged,60050,0,,,,,,
b5m,WFG9,42,no_flagged,60050,0,,,,,,
b5m,ZDT1,42,no_flagged,60050,0,,,,,,
b5m,ZDT3,42,no_flagged,60050,0,,,,,,
b5m,ZDT4,42,no_flagged,60050,0,,,,,,
b5m,ZDT6,42,no_flagged,60050,0,,,,,,
b5m,swap_medium-lhs_DTLZ2,42,no_flagged,60005,0,,,,,,
b5m,swap_medium-lhs_MMF16_20,42,no_flagged,60005,0,,,,,,
b5m,swap_medium-lhs_WFG9,42,no_flagged,60050,0,,,,,,
b5m,swap_medium-lhs_ZDT1,42,no_flagged,60050,0,,,,,,
b5m,swap_medium-lhs_ZDT4,42,no_flagged,60050,0,,,,,,
b5m,swap_medium-mvns_DTLZ2,42,no_flagged,60005,0,,,,,,
b5m,swap_medium-mvns_MMF16_20,42,no_flagged,60005,0,,,,,,
b5m,swap_medium-mvns_WFG9,42,no_flagged,60050,0,,,,,,
b5m,swap_medium-mvns_ZDT1,42,no_flagged,60050,0,,,,,,
b5m,swap_medium-mvns_ZDT4,42,no_flagged,60050,0,,,,,,
b5m,swap_small-lhs_DTLZ2,42,no_flagged,60005,0,,,,,,
b5m,swap_small-lhs_MMF16_20,42,no_flagged,60005,0,,,,,,
b5m,swap_small-lhs_WFG9,42,no_flagged,60050,0,,,,,,
b5m,swap_small-lhs_ZDT1,42,no_flagged,60050,0,,,,,,
b5m,swap_small-lhs_ZDT4,42,no_flagged,60050,0,,,,,,
b5m,swap_small-mvns_DTLZ2,42,no_flagged,60005,0,,,,,,
b5m,swap_small-mvns_MMF16_20,42,no_flagged,60005,0,,,,,,
b5m,swap_small-mvns_WFG9,42,no_flagged,60050,0,,,,,,
b5m,swap_small-mvns_ZDT1,42,no_flagged,60050,0,,,,,,
b5m,swap_small-mvns_ZDT4,42,no_flagged,60050,0,,,,,,
b5r,BBOB_F1,42,no_flagged,59655,0,,,,,,
b5r,BBOB_F17,42,no_flagged,58877,0,,,,,,
b5r,BBOB_F22,42,no_flagged,59436,0,,,,,,
b5r,BBOB_F37,42,no_flagged,59765,0,,,,,,
b5r,BBOB_F49,42,no_flagged,59595,0,,,,,,
b5r,BBOB_F5,42,no_flagged,59561,0,,,,,,
b5r,BBOB_F55,42,no_flagged,59547,0,,,,,,
b5r,DTLZ1,42,no_flagged,59524,0,,,,,,
b5r,DTLZ2,42,no_flagged,59791,0,,,,,,
b5r,DTLZ3,42,no_flagged,59397,0,,,,,,
b5r,DTLZ4,42,no_flagged,58993,0,,,,,,
b5r,DTLZ7,42,no_flagged,59563,0,,,,,,
